t263 [diag:watch] addr=0x548808 width=8 value=0xf pc=0x42e570 thread=1 ra=0x42e51c sp=0x1fffde0
t263 [diag:watch] addr=0x548850 width=4 value=0x0 pc=0x3b1150 thread=1 ra=0x3b06a0 sp=0x1fffe60
t263 [diag:watch] addr=0x587b18 width=4 value=0x587b18 pc=0x3b116c thread=1 ra=0x3b06a0 sp=0x1fffe60
t263 [diag:watch] addr=0x587b1c width=4 value=0x587b18 pc=0x3b1174 thread=1 ra=0x3b06a0 sp=0x1fffe60
t263 [diag:watch] addr=0x548848 width=4 value=0xb pc=0x3b1178 thread=1 ra=0x3b06a0 sp=0x1fffe60
t263 [diag:watch] addr=0x54884c width=4 value=0xb pc=0x3b117c thread=1 ra=0x3b06a0 sp=0x1fffe60
t263 [diag:watch] addr=0x587b20 width=4 value=0x548848 pc=0x3b1184 thread=1 ra=0x3b06a0 sp=0x1fffe60
t263 [diag:watch] addr=0x587b24 width=4 value=0x548848 pc=0x3b1188 thread=1 ra=0x3b06a0 sp=0x1fffe60
t263 [diag:watch] addr=0x548848 width=4 value=0x587b20 pc=0x3b118c thread=1 ra=0x3b06a0 sp=0x1fffe60
t263 [diag:watch] addr=0x54884c width=4 value=0x587b20 pc=0x3b1190 thread=1 ra=0x3b06a0 sp=0x1fffe60
t263 [diag:watch] addr=0x587b8c width=4 value=0x0 pc=0x254e08 thread=1 ra=0x254e08 sp=0x1fffe70
t263 [diag:watch] addr=0x587b20 width=4 value=0x587b20 pc=0x3b10f8 thread=1 ra=0x3b0fd0 sp=0x1fffde0
t263 [diag:watch] addr=0x587b24 width=4 value=0x587b20 pc=0x3b1100 thread=1 ra=0x3b0fd0 sp=0x1fffde0
t263 [diag:watch] addr=0x54884c width=4 value=0xb pc=0x3b1108 thread=1 ra=0x3b0fd0 sp=0x1fffde0
t263 [diag:watch] addr=0x548848 width=4 value=0xb pc=0x3b1110 thread=1 ra=0x3b0fd0 sp=0x1fffde0
