au2_center_s,lag_from_base_frames,lag_from_base_ms,ncc
10.5,-1.1222681478458654,-0.031174115217940702,0.9554458576664286
10.525,-1.0266802215734698,-0.0285188950437075,0.9672078023888768
10.55,-0.7308638060021977,-0.020301772388949934,0.9530980510763377
10.575,0.13329746845838913,0.0037027074571774764,0.9522351900940879
10.6,0.20800096170211585,0.005777804491725441,0.9747796999587739
10.625,0.23113333503862,0.0064203704177394445,0.9751205592746361
10.65,-0.16090515004595346,-0.004469587501276485,0.9584251621805533
10.675,-0.28881341429089713,-0.00802259484141381,0.9746705372205718
10.7,0.1192526241816842,0.003312572893935672,0.9881777107481752
10.725,-0.1627411147488909,-0.004520586520802525,0.9627836697687111
10.75,-0.02999505727602125,-0.0008331960354450347,0.9630376016855844
10.775,0.17460017372542805,0.004850004825706335,0.9804477590739946
10.8,0.23233102591137833,0.006453639608649398,0.9844454599066748
10.825,0.217150822613088,0.006031967294808,0.9826322836725124
10.85,0.23688790241051544,0.006580219511403206,0.9849880151395837
10.875,0.26094412627216707,0.007248447952004641,0.9831852278651535
10.9,0.09190287767035409,0.0025528577130653914,0.9874724721452274
10.925,0.2613466207976008,0.007259628355488911,0.9861456764721754
10.95,0.11036973030964524,0.0030658258419345896,0.9120313618206934
10.975,0.012149458461900799,0.0003374849572750222,0.9468128262877125
11.0,0.13863896791847774,0.003851082442179937,0.9954920569082255
11.025,-0.010575357770696802,-0.0002937599380749112,0.993368108508958
11.05,0.2421830022799265,0.006727305618886847,0.9624109066053719
11.075,0.2412631096940871,0.006701753047057975,0.9491136390069009
11.1,0.2398809071748476,0.006663358532634655,0.9696904736964589
11.125,0.2479056197812767,0.006886267216146575,0.9922545045335988
11.15,0.23718684269515675,0.006588523408198798,0.9955395862950805
11.175,0.24004299210880048,0.006667860891911125,0.9892916908816304
11.2,0.27211872555844774,0.00755885348773466,0.9922818337847837
11.225,-0.059327398128329226,-0.0016479832813424786,0.985700919846656
11.25,-1.077247589102442,-0.0299235441417345,0.9853013504897921
11.275,-0.4390438043337933,-0.01219566123149426,0.9927025882620584
11.3,0.11102505595721401,0.0030840293321448336,0.9911200842615561
11.325,0.1747693313133301,0.004854703647592502,0.9927088665506406
11.35,0.1218822633633809,0.0033856184267605804,0.9892789117372903
11.375,-0.28498472385708273,-0.007916242329363408,0.9880040909905252
11.4,0.028420927427036925,0.0007894702063065813,0.9801993432986383
11.425,0.22153753179641425,0.006153820327678174,0.9631055285486358
11.45,0.250257010942643,0.00695158363729564,0.9739828651304281
11.475,0.22981540714177384,0.006383761309493718,0.9899416156106279
11.5,-0.38533618443370443,-0.010703782900936234,0.97421039522263
11.525,-2.4498987747887346,-0.06805274374413152,0.9489827826627583
11.55,0.026193472891740743,0.0007275964692150206,0.947554636917117
11.575,0.09144504673628791,0.0025401401871191086,0.9768756569399388
11.6,-0.1285155864138611,-0.00356987740038503,0.9870825910653966
11.625,0.2917358272903057,0.008103772980286271,0.9956547115611929
11.65,0.24437325045946964,0.0067881458460963785,0.9827336517221438
11.675,0.2060686093655202,0.005724128037931117,0.9652043664506263
11.7,0.1799883040517917,0.004999675112549769,0.9829459913578832
11.725,0.046738308271641237,0.0012982863408789232,0.9894735769592202
11.75,-0.6583685179351054,-0.01828801438708626,0.9660579162005807
11.775,0.06783126631472822,0.0018842018420757837,0.9627913277313512
11.8,0.15613879946284764,0.0043371888739679905,0.9731093458689641
11.825,0.17719580913732222,0.004922105809370062,0.978523530079619
11.85,0.05209506659791622,0.0014470851832754507,0.9850795872574556
11.875,-0.19435902160277985,-0.005398861711188329,0.9761176020488066
11.9,-0.3398120286682374,-0.00943922301856215,0.9744372995227197
11.925,-1.0473225892025755,-0.029092294144515987,0.95594737143081
11.95,-0.21204947168749322,-0.005890263102430368,0.962443572539872
11.975,0.1075711534854179,0.002988087596817164,0.9793841282233475
12.0,0.1511466387115957,0.00419851774198877,0.9797716515844391
12.025,0.22100325261685383,0.006138979239357051,0.9176461548094479
12.05,0.23227411207764584,0.006452058668823496,0.9196218584697735
12.075,0.23946307167904315,0.006651751991084532,0.9796363191946056
12.1,-0.14912138635233452,-0.004142260732009293,0.9690374527491751
