Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0x0, config1 0x0, config2: 0x0)
Samples: 101536
Event count: 73238711759

Overhead  Command          Shared Object                                                                                                               Symbol
0.25%     GameThread       /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  ps2DiagWatchEnabled()
0.25%     GameThread       /apex/com.android.runtime/lib64/bionic/libc.so                                                                              pthread_mutex_lock
0.24%     GameThread       /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  VU1RecompImage<11917748289753363281ul>::f06b0(VU1Interpreter&, VU1Interpreter::RunContext&)
0.24%     GameThread       /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  VU1RecompImage<11917748289753363281ul>::f06c8(VU1Interpreter&, VU1Interpreter::RunContext&)
0.24%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  GS::processGIFPacket(unsigned char const*, unsigned int)
0.24%     GameThread       /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  VU1Interpreter::recordViWriteForBranch(unsigned char, int)
0.24%     GsWorker         [kernel.kallsyms]                                                                                                           [kernel.kallsyms][+ffffffe761a8e810]
0.23%     GameThread       /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  VU1RecompImage<11917748289753363281ul>::f0690(VU1Interpreter&, VU1Interpreter::RunContext&)
0.22%     com.ps2x.runner  [kernel.kallsyms]                                                                                                           [kernel.kallsyms][+ffffffe761a8e810]
0.22%     GameThread       /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  VU1RecompImage<11917748289753363281ul>::f0718(VU1Interpreter&, VU1Interpreter::RunContext&)
0.22%     GameThread       /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  VU1RecompImage<11917748289753363281ul>::f0678(VU1Interpreter&, VU1Interpreter::RunContext&)
0.22%     GameThread       /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  VU1RecompImage<11917748289753363281ul>::f0630(VU1Interpreter&, VU1Interpreter::RunContext&)
0.21%     GameThread       /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  VU1RecompImage<11917748289753363281ul>::f06b8(VU1Interpreter&, VU1Interpreter::RunContext&)
0.21%     GsWorker         /apex/com.android.runtime/lib64/bionic/libc.so                                                                              __memcpy_aarch64_nt
0.21%     GameThread       /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  VU1RecompImage<17692172933381506641ul>::f0ae8(VU1Interpreter&, VU1Interpreter::RunContext&)
0.21%     GameThread       /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  sub_0032E100_0x32e100(unsigned char*, R5900Context*, PS2Runtime*)
0.21%     GameThread       /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  VU1RecompImage<11917748289753363281ul>::f0700(VU1Interpreter&, VU1Interpreter::RunContext&)
0.20%     GameThread       /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  VU1RecompImage<17692172933381506641ul>::f0a58(VU1Interpreter&, VU1Interpreter::RunContext&)
