Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0x0, config1 0x0, config2: 0x0)
Samples: 37482
Event count: 11847742602

Overhead  Command          Shared Object                                                                                                                 Symbol
0.22%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    ParallelGS::GSInterface::update_optimized_gif_handler(unsigned int)
0.21%     com.ps2x.runner  [kernel.kallsyms]                                                                                                             [kernel.kallsyms][+ffffffe760a2168c]
0.20%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    std::__ndk1::condition_variable::notify_all()
0.20%     GsWorker         [kernel.kallsyms]                                                                                                             [kernel.kallsyms][+ffffffe760bc8534]
0.20%     com.ps2x.runner  [kernel.kallsyms]                                                                                                             [kernel.kallsyms][+ffffffe7611d5040]
0.19%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    std::__ndk1::mutex::unlock()
0.18%     GsWorker         [kernel.kallsyms]                                                                                                             [kernel.kallsyms][+ffffffe761a6b670]
0.18%     GsWorker         /data/app/~~Hd1ne0JtfXtklWMy69PwAw==/com.ps2x.runner-uOg1LE2w5bsMaJZjY37MtQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so    ParallelGS::PageTracker::flush_if_memory_pressure()
0.18%     com.ps2x.runner  [kernel.kallsyms]                                                                                                             [kernel.kallsyms][+ffffffe760ad37c0]
0.17%     GsWorker         [kernel.kallsyms]                                                                                                             [kernel.kallsyms][+ffffffe760a2784c]
