Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 130822
Event count: 98380655774

Overhead  Command          Symbol
0.19%     GameThread       VU1RecompImage<17692172933381506641ul>::f0a68(VU1Interpreter&, VU1Interpreter::RunContext&)
0.19%     GameThread       VU1RecompImage<11917748289753363281ul>::f0698(VU1Interpreter&, VU1Interpreter::RunContext&)
0.19%     GameThread       VU1RecompImage<17692172933381506641ul>::f0aa0(VU1Interpreter&, VU1Interpreter::RunContext&)
0.19%     GameThread       VU1RecompImage<17692172933381506641ul>::f0af0(VU1Interpreter&, VU1Interpreter::RunContext&)
0.19%     GameThread       VU1RecompImage<12499688582289950957ul>::f1538(VU1Interpreter&, VU1Interpreter::RunContext&)
0.19%     GameThread       sub_0022ADD8_0x22add8(unsigned char*, R5900Context*, PS2Runtime*)
0.19%     GameThread       VU1RecompImage<17692172933381506641ul>::f0a88(VU1Interpreter&, VU1Interpreter::RunContext&)
0.19%     GameThread       VU1RecompImage<11917748289753363281ul>::f0670(VU1Interpreter&, VU1Interpreter::RunContext&)
0.19%     GameThread       VU1RecompImage<11917748289753363281ul>::f06a0(VU1Interpreter&, VU1Interpreter::RunContext&)
0.18%     GameThread       VU1RecompImage<17692172933381506641ul>::f3170(VU1Interpreter&, VU1Interpreter::RunContext&)
0.18%     GsWorker         [kernel.kallsyms][+ffffffe760a277ec]
0.18%     GameThread       [linker]do_dl_iterate_phdr(int (*)(dl_phdr_info*, unsigned long, void*), void*)
0.18%     GameThread       VU1RecompImage<17692172933381506641ul>::f3168(VU1Interpreter&, VU1Interpreter::RunContext&)
0.18%     GameThread       VU1RecompImage<17692172933381506641ul>::f2ec8(VU1Interpreter&, VU1Interpreter::RunContext&)
0.17%     GameThread       sub_0038B0F8_0x38b0f8(unsigned char*, R5900Context*, PS2Runtime*)
0.17%     GameThread       PS2Memory::advanceEeTimers(unsigned long)
0.17%     GameThread       VU1RecompImage<17692172933381506641ul>::f0a90(VU1Interpreter&, VU1Interpreter::RunContext&)
0.17%     GameThread       VU1RecompImage<17692172933381506641ul>::f0aa8(VU1Interpreter&, VU1Interpreter::RunContext&)
0.17%     GameThread       VU1Interpreter::advanceTo(unsigned long)
0.17%     GameThread       VU1RecompImage<11917748289753363281ul>::f06f8(VU1Interpreter&, VU1Interpreter::RunContext&)
0.17%     GameThread       VU1RecompImage<12499688582289950957ul>::f1548(VU1Interpreter&, VU1Interpreter::RunContext&)
0.17%     GameThread       VU1RecompImage<12499688582289950957ul>::f14e8(VU1Interpreter&, VU1Interpreter::RunContext&)
0.17%     GameThread       VU1RecompImage<12499688582289950957ul>::f14e0(VU1Interpreter&, VU1Interpreter::RunContext&)
0.17%     GameThread       sub_0037A430_0x37a430(unsigned char*, R5900Context*, PS2Runtime*)
0.17%     GameThread       [kernel.kallsyms][+ffffffe760ad37c0]
0.16%     GameThread       VU1RecompImage<17692172933381506641ul>::f3100(VU1Interpreter&, VU1Interpreter::RunContext&)
0.16%     GameThread       VU1RecompImage<11917748289753363281ul>::f06e8(VU1Interpreter&, VU1Interpreter::RunContext&)
0.16%     GsWorker         GS::recordDrawDebugEventUnlocked(int)
0.16%     GameThread       VU1RecompImage<17692172933381506641ul>::f2ee0(VU1Interpreter&, VU1Interpreter::RunContext&)
0.16%     GameThread       sub_0022A830_0x22a830(unsigned char*, R5900Context*, PS2Runtime*)
0.16%     GameThread       PS2Runtime::dispatchGuestBranch(unsigned char*, R5900Context*, unsigned int, unsigned int, unsigned int, PS2Runtime::GuestBranchKind, char const*)
0.16%     GameThread       sub_001E9A30_0x1e9a30(unsigned char*, R5900Context*, PS2Runtime*)
0.16%     GsWorker         pthread_mutex_unlock
0.16%     GameThread       sub_002BCBD0_0x2bcbd0(unsigned char*, R5900Context*, PS2Runtime*)
0.16%     GameThread       scudo::HybridMutex::tryLock()
0.16%     com.ps2x.runner  !!!0000!a0d82c13dd4b4e4f31b6cd30a2cb0d!a9ee82cd83!
0.15%     GameThread       __aarch64_cas2_acq
0.15%     GameThread       sub_0013D818_0x13d818(unsigned char*, R5900Context*, PS2Runtime*)
0.15%     GameThread       VU1RecompImage<12499688582289950957ul>::f14d0(VU1Interpreter&, VU1Interpreter::RunContext&)
0.15%     GameThread       VU1RecompImage<11917748289753363281ul>::f06c0(VU1Interpreter&, VU1Interpreter::RunContext&)
0.15%     GameThread       VU1RecompImage<17692172933381506641ul>::f0a98(VU1Interpreter&, VU1Interpreter::RunContext&)
0.14%     GameThread       EeScheduler::accountCycles(unsigned int)
0.14%     GameThread       VU1RecompImage<12499688582289950957ul>::f14f8(VU1Interpreter&, VU1Interpreter::RunContext&)
0.14%     GameThread       VU1RecompImage<12499688582289950957ul>::f1530(VU1Interpreter&, VU1Interpreter::RunContext&)
0.14%     GsWorker         ParallelGS::GSInterface::gif_transfer(unsigned int, void const*, unsigned long)
0.14%     GameThread       VU1RecompImage<12499688582289950957ul>::f1520(VU1Interpreter&, VU1Interpreter::RunContext&)
0.13%     GameThread       VU1RecompImage<17692172933381506641ul>::f30f8(VU1Interpreter&, VU1Interpreter::RunContext&)
0.13%     GameThread       VU1RecompImage<17692172933381506641ul>::f0ae0(VU1Interpreter&, VU1Interpreter::RunContext&)
0.13%     GameThread       GS::processGIFPacket(unsigned char const*, unsigned int)
0.13%     GameThread       VU1RecompImage<12499688582289950957ul>::f14d8(VU1Interpreter&, VU1Interpreter::RunContext&)
0.13%     GameThread       __aarch64_swp2_rel
0.13%     GameThread       VU1RecompImage<11917748289753363281ul>::f06d8(VU1Interpreter&, VU1Interpreter::RunContext&)
0.13%     GameThread       VU1RecompImage<12499688582289950957ul>::f1518(VU1Interpreter&, VU1Interpreter::RunContext&)
0.13%     GameThread       VU1RecompImage<17692172933381506641ul>::f30e0(VU1Interpreter&, VU1Interpreter::RunContext&)
0.12%     GameThread       VU1RecompImage<17692172933381506641ul>::f2ea8(VU1Interpreter&, VU1Interpreter::RunContext&)
0.12%     GameThread       VU1RecompImage<17692172933381506641ul>::f1498(VU1Interpreter&, VU1Interpreter::RunContext&)
0.12%     GameThread       VU1RecompImage<11917748289753363281ul>::f06e0(VU1Interpreter&, VU1Interpreter::RunContext&)
0.12%     GameThread       VU1RecompImage<17692172933381506641ul>::f1470(VU1Interpreter&, VU1Interpreter::RunContext&)
0.12%     GameThread       VU1RecompImage<17692172933381506641ul>::f14a0(VU1Interpreter&, VU1Interpreter::RunContext&)
0.12%     GameThread       VU1RecompImage<17692172933381506641ul>::f14a8(VU1Interpreter&, VU1Interpreter::RunContext&)
0.12%     GameThread       VU1RecompImage<12499688582289950957ul>::f14b0(VU1Interpreter&, VU1Interpreter::RunContext&)
0.12%     GameThread       VU1RecompImage<12499688582289950957ul>::f1528(VU1Interpreter&, VU1Interpreter::RunContext&)
0.11%     GsWorker         __aarch64_ldadd8_relax
0.11%     GameThread       scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::deallocate(void*, scudo::Chunk::Origin, unsigned long, unsigned long)
0.11%     GsWorker         [kernel.kallsyms][+ffffffe761a83a5c]
0.11%     GameThread       VU1RecompImage<11917748289753363281ul>::f0708(VU1Interpreter&, VU1Interpreter::RunContext&)
0.11%     GsWorker         void ParallelGS::GSInterface::packed_STQRGBAXYZ<true, (ParallelGS::PRIMType)4, 1>(void const*, unsigned int)
0.11%     GameThread       sub_0030F2B0_0x30f2b0(unsigned char*, R5900Context*, PS2Runtime*)
0.11%     GameThread       VU1RecompImage<17692172933381506641ul>::f0ac8(VU1Interpreter&, VU1Interpreter::RunContext&)
0.11%     GameThread       VU1RecompImage<11917748289753363281ul>::f0688(VU1Interpreter&, VU1Interpreter::RunContext&)
0.11%     GameThread       VU1RecompImage<17692172933381506641ul>::f30d8(VU1Interpreter&, VU1Interpreter::RunContext&)
0.10%     GameThread       VU1RecompImage<17692172933381506641ul>::f2ec0(VU1Interpreter&, VU1Interpreter::RunContext&)
0.10%     GameThread       VU1Interpreter::queueQ(float, unsigned int, unsigned int)
0.10%     GameThread       VU1RecompImage<17692172933381506641ul>::f0ad8(VU1Interpreter&, VU1Interpreter::RunContext&)
0.10%     GameThread       VU1RecompImage<12499688582289950957ul>::f14c8(VU1Interpreter&, VU1Interpreter::RunContext&)
0.10%     GameThread       VU1RecompImage<17692172933381506641ul>::f2ed8(VU1Interpreter&, VU1Interpreter::RunContext&)
0.10%     GameThread       VU1RecompImage<17692172933381506641ul>::f2ea0(VU1Interpreter&, VU1Interpreter::RunContext&)
0.10%     GameThread       VU1RecompImage<17692172933381506641ul>::f0ad0(VU1Interpreter&, VU1Interpreter::RunContext&)
0.10%     GsWorker         __memcpy_aarch64_nt
0.10%     GameThread       VU1RecompImage<11917748289753363281ul>::f0650(VU1Interpreter&, VU1Interpreter::RunContext&)
0.10%     GameThread       sub_00386DD0_0x386dd0(unsigned char*, R5900Context*, PS2Runtime*)
0.10%     GameThread       VU1RecompImage<11917748289753363281ul>::f0660(VU1Interpreter&, VU1Interpreter::RunContext&)
0.10%     GameThread       VU1RecompImage<12499688582289950957ul>::f14b8(VU1Interpreter&, VU1Interpreter::RunContext&)
0.10%     GameThread       VU1Interpreter::queueVfWrite(unsigned char, unsigned char, float const*, unsigned int)
