tick	logline	pc	dma	gif	d_dma	d_gif	ratio
22080	2667720	0x3e4db8	2669132	72181	0	0	FROZEN
22200	2669933	0x31ac30	2669132	72181	0	0	FROZEN
22320	2672108	0x31ac30	2669132	72181	0	0	FROZEN
22440	2674411	0x31ac30	2669132	72181	0	0	FROZEN
22560	2676493	0x31ac30	2669132	72181	0	0	FROZEN
22680	2678766	0x31ac30	2669132	72181	0	0	FROZEN
22800	2680948	0x31ac30	2669132	72181	0	0	FROZEN
22920	2683094	0x31ac30	2669132	72181	0	0	FROZEN
23040	2685393	0x31ac30	2669132	72181	0	0	FROZEN
23160	2687632	0x31ac30	2669132	72181	0	0	FROZEN
23280	2689849	0x3e4db8	2669132	72181	0	0	FROZEN
23400	2692151	0x31ac30	2669132	72181	0	0	FROZEN
23520	2694387	0x31ac30	2669132	72181	0	0	FROZEN
23640	2696512	0x31ac30	2669132	72181	0	0	FROZEN
23760	2698808	0x31ac30	2669132	72181	0	0	FROZEN
23880	2700968	0x31ac30	2669132	72181	0	0	FROZEN
24000	2703252	0x31ac30	2669132	72181	0	0	FROZEN
24120	2705481	0x31ac30	2669132	72181	0	0	FROZEN
24240	2707776	0x31ac30	2669132	72181	0	0	FROZEN
24360	2709932	0x31ac30	2669132	72181	0	0	FROZEN
24480	2712209	0x31ac30	2669132	72181	0	0	FROZEN
24600	2714480	0x31ac30	2669132	72181	0	0	FROZEN
24720	2716684	0x31ac30	2669132	72181	0	0	FROZEN
24840	2718979	0x31ac30	2669132	72181	0	0	FROZEN
24960	2721198	0x31ac30	2669132	72181	0	0	FROZEN
25080	2723400	0x31ac30	2669132	72181	0	0	FROZEN
25200	2725596	0x31ac30	2669132	72181	0	0	FROZEN
25320	2727879	0x31ac30	2669132	72181	0	0	FROZEN
25440	2730097	0x31ac30	2669132	72181	0	0	FROZEN
25560	2732264	0x31ac30	2669132	72181	0	0	FROZEN
25680	2734446	0x3825c0	2669132	72181	0	0	FROZEN
25800	2736545	0x31ac30	2669132	72181	0	0	FROZEN
25920	2739030	0x31ac30	2669132	72181	0	0	FROZEN
26040	2741207	0x31a490	2669132	72181	0	0	FROZEN
26160	2743423	0x31ac30	2669132	72181	0	0	FROZEN
26280	2745582	0x31ac30	2669132	72181	0	0	FROZEN
26400	2747894	0x31ac30	2669132	72181	0	0	FROZEN
26520	2750042	0x31ac30	2669132	72181	0	0	FROZEN
26640	2752286	0x31ac30	2669132	72181	0	0	FROZEN
26760	2754502	0x31ac30	2669132	72181	0	0	FROZEN
26880	2756739	0x31ac30	2669132	72181	0	0	FROZEN
27000	2759056	0x31ac30	2669132	72181	0	0	FROZEN
27120	2761302	0x3825c0	2669132	72181	0	0	FROZEN
27240	2763532	0x31ac30	2669132	72181	0	0	FROZEN
27360	2765721	0x31ac30	2669132	72181	0	0	FROZEN
27480	2768059	0x31ac30	2669132	72181	0	0	FROZEN
27600	2770336	0x31ac30	2669132	72181	0	0	FROZEN
27720	2772578	0x31ac30	2669132	72181	0	0	FROZEN
27840	2774808	0x31ac30	2669132	72181	0	0	FROZEN
27960	2777113	0x31ac30	2669132	72181	0	0	FROZEN
28080	2779414	0x31ac30	2669132	72181	0	0	FROZEN
28200	2781630	0x31ac30	2669132	72181	0	0	FROZEN
28320	2783815	0x31ac30	2669132	72181	0	0	FROZEN
28440	2786094	0x31ac30	2669132	72181	0	0	FROZEN
28560	2788226	0x3e4db8	2669132	72181	0	0	FROZEN
28680	2790515	0x31ac30	2669132	72181	0	0	FROZEN
28800	2792584	0x31ac30	2669132	72181	0	0	FROZEN
28920	2794759	0x31ac30	2669132	72181	0	0	FROZEN
29040	2797028	0x31ac30	2669132	72181	0	0	FROZEN
29160	2799248	0x31ac30	2669132	72181	0	0	FROZEN
29280	2801570	0x31ac30	2669132	72181	0	0	FROZEN
29400	2803858	0x31ac30	2669132	72181	0	0	FROZEN
29520	2806086	0x0	2669132	72181	0	0	FROZEN
29640	2808310	0x31ac30	2669132	72181	0	0	FROZEN
29760	2810578	0x31ac30	2669132	72181	0	0	FROZEN
29880	2812892	0x31ac30	2669132	72181	0	0	FROZEN
30000	2815141	0x31ac30	2669132	72181	0	0	FROZEN
30120	2817309	0x31ac30	2669132	72181	0	0	FROZEN
30240	2819616	0x31ac30	2669132	72181	0	0	FROZEN
30360	2821782	0x31ac30	2669132	72181	0	0	FROZEN
30480	2824036	0x31ac30	2669132	72181	0	0	FROZEN
30600	2826241	0x31ac30	2669132	72181	0	0	FROZEN
30720	2828395	0x31ac30	2669132	72181	0	0	FROZEN
30840	2830600	0x31ac30	2669132	72181	0	0	FROZEN
30960	2832733	0x31ac30	2669132	72181	0	0	FROZEN
31080	2835023	0x31ac30	2669132	72181	0	0	FROZEN
31200	2837208	0x0	2669132	72181	0	0	FROZEN
31320	2839455	0x31ac30	2669132	72181	0	0	FROZEN
31440	2841762	0x31ac30	2669132	72181	0	0	FROZEN
31560	2843990	0x31ac30	2669132	72181	0	0	FROZEN
31680	2846252	0x31ac30	2669132	72181	0	0	FROZEN
31800	2848645	0x31ac30	2669132	72181	0	0	FROZEN
31920	2850781	0x31ac30	2669132	72181	0	0	FROZEN
32040	2852939	0x31ac30	2669132	72181	0	0	FROZEN
32160	2855190	0x31ac30	2669132	72181	0	0	FROZEN
32280	2857366	0x31ac30	2669132	72181	0	0	FROZEN
32400	2859566	0x31ac30	2669132	72181	0	0	FROZEN
32520	2861727	0x31ac30	2669132	72181	0	0	FROZEN
32640	2863959	0x31ac30	2669132	72181	0	0	FROZEN
32760	2866212	0x31ac30	2669132	72181	0	0	FROZEN
32880	2868333	0x0	2669132	72181	0	0	FROZEN
33000	2870561	0x31ac30	2669132	72181	0	0	FROZEN
33120	2872836	0x31ac30	2669132	72181	0	0	FROZEN
33240	2875149	0x31ac30	2669132	72181	0	0	FROZEN
33360	2877268	0x31ac30	2669132	72181	0	0	FROZEN
33480	2879497	0x31ac30	2669132	72181	0	0	FROZEN
33600	2881820	0x3825c0	2669132	72181	0	0	FROZEN
33720	2884072	0x3825c0	2669132	72181	0	0	FROZEN
33840	2886287	0x31ac30	2669132	72181	0	0	FROZEN
33960	2888529	0x31ac30	2669132	72181	0	0	FROZEN
34080	2890775	0x31ac30	2669132	72181	0	0	FROZEN
34200	2893071	0x31ac30	2669132	72181	0	0	FROZEN
34320	2895265	0x31ac30	2669132	72181	0	0	FROZEN
34440	2897463	0x31ac30	2669132	72181	0	0	FROZEN
34560	2899691	0x31ac30	2669132	72181	0	0	FROZEN
34680	2901918	0x31ac30	2669132	72181	0	0	FROZEN
34800	2904216	0x31ac30	2669132	72181	0	0	FROZEN
34920	2906444	0x31ac30	2669132	72181	0	0	FROZEN
35040	2908681	0x31ac30	2669132	72181	0	0	FROZEN
35160	2910914	0x31ac30	2669132	72181	0	0	FROZEN
35280	2913151	0x31ac30	2669132	72181	0	0	FROZEN
35400	2915312	0x31ac30	2669132	72181	0	0	FROZEN
35520	2917580	0x31ac30	2669132	72181	0	0	FROZEN
35640	2919807	0x31ac30	2669132	72181	0	0	FROZEN
35760	2922151	0x31ac30	2669132	72181	0	0	FROZEN
35880	2924431	0x31ac30	2669132	72181	0	0	FROZEN
36000	2926741	0x31ac30	2669132	72181	0	0	FROZEN
36120	2929032	0x31ac30	2669132	72181	0	0	FROZEN
36240	2931186	0x31ac30	2669132	72181	0	0	FROZEN
36360	2933435	0x0	2669132	72181	0	0	FROZEN
36480	2935288	0x31ac30	2669132	72181	0	0	FROZEN
36600	2936604	0x31ac30	2669132	72181	0	0	FROZEN
36720	2938117	0x31ac30	2669132	72181	0	0	FROZEN
36840	2939440	0x31ac30	2669132	72181	0	0	FROZEN
36960	2940706	0x31ac30	2669132	72181	0	0	FROZEN
37080	2942237	0x31ac30	2669132	72181	0	0	FROZEN
37200	2944015	0x3c1980	2669132	72181	0	0	FROZEN
37320	2945413	0x31ac30	2669132	72181	0	0	FROZEN
37440	2946778	0x31ac30	2669132	72181	0	0	FROZEN
37560	2948170	0x31ac30	2669132	72181	0	0	FROZEN
37680	2949454	0x31ac30	2669132	72181	0	0	FROZEN
37800	2950836	0x31ac30	2669132	72181	0	0	FROZEN
37920	2952159	0x31ac30	2669132	72181	0	0	FROZEN
38040	2953573	0x31ac30	2669132	72181	0	0	FROZEN
38160	2954907	0x31ac30	2669132	72181	0	0	FROZEN
38280	2956292	0x31ac30	2669132	72181	0	0	FROZEN
38400	2957651	0x31ac30	2669132	72181	0	0	FROZEN
38520	2958971	0x31ac30	2669132	72181	0	0	FROZEN
38640	2960290	0x31ac30	2669132	72181	0	0	FROZEN
38760	2961595	0x31ac30	2669132	72181	0	0	FROZEN
38880	2962899	0x3c1980	2669132	72181	0	0	FROZEN
39000	2964300	0x31ac30	2669132	72181	0	0	FROZEN
39120	2965681	0x31ac30	2669132	72181	0	0	FROZEN
39240	2967042	0x31ac30	2669132	72181	0	0	FROZEN
39360	2968397	0x31ac30	2669132	72181	0	0	FROZEN
39480	2969722	0x31ac30	2669132	72181	0	0	FROZEN
39600	2970974	0x31ac30	2669132	72181	0	0	FROZEN
39720	2972284	0x31ac30	2669132	72181	0	0	FROZEN
39840	2973601	0x31ac30	2669132	72181	0	0	FROZEN
39960	2974919	0x31ac30	2669132	72181	0	0	FROZEN
40080	2976226	0x31ac30	2669132	72181	0	0	FROZEN
40200	2977570	0x31ac30	2669132	72181	0	0	FROZEN
40320	2978896	0x31ac30	2669132	72181	0	0	FROZEN
40440	2980179	0x31ac30	2669132	72181	0	0	FROZEN
40560	2981461	0x31ac30	2669132	72181	0	0	FROZEN
40680	2982775	0x0	2669132	72181	0	0	FROZEN
40800	2984120	0x31ac30	2669132	72181	0	0	FROZEN
40920	2985427	0x31ac30	2669132	72181	0	0	FROZEN
41040	2986784	0x31ac30	2669132	72181	0	0	FROZEN
41160	2988105	0x31ac30	2669132	72181	0	0	FROZEN
41280	2989377	0x31ac30	2669132	72181	0	0	FROZEN
41400	2990643	0x31ac30	2669132	72181	0	0	FROZEN
41520	2991970	0x31ac30	2669132	72181	0	0	FROZEN
41640	2993315	0x31ac30	2669132	72181	0	0	FROZEN
41760	2994653	0x31ac30	2669132	72181	0	0	FROZEN
41880	2995993	0x31ac30	2669132	72181	0	0	FROZEN
42000	2997319	0x31ac30	2669132	72181	0	0	FROZEN
42120	2998623	0x31ac30	2669132	72181	0	0	FROZEN
42240	2999879	0x31ac30	2669132	72181	0	0	FROZEN
42360	3001175	0x31ac30	2669132	72181	0	0	FROZEN
42480	3002553	0x31ac30	2669132	72181	0	0	FROZEN
42600	3003891	0x31ac30	2669132	72181	0	0	FROZEN
42720	3005188	0x31ac30	2669132	72181	0	0	FROZEN
42840	3006530	0x31ac30	2669132	72181	0	0	FROZEN
42960	3007869	0x31ac30	2669132	72181	0	0	FROZEN
43080	3009137	0x31ac30	2669132	72181	0	0	FROZEN
43200	3010461	0x31ac30	2669132	72181	0	0	FROZEN
43320	3011798	0x31ac30	2669132	72181	0	0	FROZEN
43440	3013162	0x31ac30	2669132	72181	0	0	FROZEN
43560	3014432	0x31ac30	2669132	72181	0	0	FROZEN
43680	3015743	0x31ac30	2669132	72181	0	0	FROZEN
43800	3017040	0x31ac30	2669132	72181	0	0	FROZEN
43920	3018274	0x31ac30	2669132	72181	0	0	FROZEN
44040	3019631	0x31ac30	2669132	72181	0	0	FROZEN
44160	3020946	0x31ac30	2669132	72181	0	0	FROZEN
44280	3022206	0x31ac30	2669132	72181	0	0	FROZEN
44400	3023556	0x31ac30	2669132	72181	0	0	FROZEN
44520	3024882	0x31ac30	2669132	72181	0	0	FROZEN
44640	3026205	0x31ac30	2669132	72181	0	0	FROZEN
44760	3027472	0x31ac30	2669132	72181	0	0	FROZEN
44880	3028798	0x31ac30	2669132	72181	0	0	FROZEN
45000	3030103	0x31ac30	2669132	72181	0	0	FROZEN
45120	3031796	0x31ac30	2669132	72181	0	0	FROZEN
45240	3034026	0x31ac30	2669132	72181	0	0	FROZEN
45360	3036235	0x31ac30	2669132	72181	0	0	FROZEN
45480	3038489	0x31ac30	2669132	72181	0	0	FROZEN
45600	3040842	0x31ac30	2669132	72181	0	0	FROZEN
45720	3043073	0x31ac30	2669132	72181	0	0	FROZEN
45840	3045340	0x31ac30	2669132	72181	0	0	FROZEN
45960	3047512	0x31ac30	2669132	72181	0	0	FROZEN
46080	3049691	0x31ac30	2669132	72181	0	0	FROZEN
46200	3051922	0x0	2669132	72181	0	0	FROZEN
46320	3054261	0x31ac30	2669132	72181	0	0	FROZEN
46440	3056453	0x31ac30	2669132	72181	0	0	FROZEN
46560	3058757	0x31ac30	2669132	72181	0	0	FROZEN
46680	3061757	0x3825c0	2669132	72181	0	0	FROZEN
46800	3065347	0x31ac30	2669132	72181	0	0	FROZEN
46920	3067871	0x31ac30	2669132	72181	0	0	FROZEN
47040	3069905	0x31ac30	2669132	72181	0	0	FROZEN
47160	3072224	0x31ac30	2669132	72181	0	0	FROZEN
47280	3074593	0x31ac30	2669132	72181	0	0	FROZEN
47400	3076836	0x31ac30	2669132	72181	0	0	FROZEN
47520	3079014	0x31ac30	2669132	72181	0	0	FROZEN
47640	3081311	0x31ac30	2669132	72181	0	0	FROZEN
47760	3083412	0x31ac30	2669132	72181	0	0	FROZEN
47880	3085633	0x31ac30	2669132	72181	0	0	FROZEN
48000	3087773	0x31ac30	2669132	72181	0	0	FROZEN
48120	3089956	0x31ac30	2669132	72181	0	0	FROZEN
48240	3092052	0x31ac30	2669132	72181	0	0	FROZEN
48360	3094239	0x31ac30	2669132	72181	0	0	FROZEN
48480	3096452	0x31ac30	2669132	72181	0	0	FROZEN
48600	3098759	0x31ac30	2669132	72181	0	0	FROZEN
48720	3100931	0x31ac30	2669132	72181	0	0	FROZEN
48840	3103124	0x31ac30	2669132	72181	0	0	FROZEN
48960	3105351	0x31ac30	2669132	72181	0	0	FROZEN
49080	3107510	0x3825c0	2669132	72181	0	0	FROZEN
49200	3109673	0x31ac30	2669132	72181	0	0	FROZEN
49320	3111854	0x31a490	2669132	72181	0	0	FROZEN
49440	3114016	0x31ac30	2669132	72181	0	0	FROZEN
49560	3116215	0x31ac30	2669132	72181	0	0	FROZEN
49680	3118320	0x31ac30	2669132	72181	0	0	FROZEN
49800	3120480	0x31ac30	2669132	72181	0	0	FROZEN
49920	3122730	0x31ac30	2669132	72181	0	0	FROZEN
50040	3124843	0x31ac30	2669132	72181	0	0	FROZEN
50160	3127175	0x31ac30	2669132	72181	0	0	FROZEN
50280	3129334	0x31ac30	2669132	72181	0	0	FROZEN
50400	3131486	0x3c1980	2669132	72181	0	0	FROZEN
50520	3133634	0x31ac30	2669132	72181	0	0	FROZEN
50640	3135839	0x31ac30	2669132	72181	0	0	FROZEN
50760	3138021	0x31ac30	2669132	72181	0	0	FROZEN
50880	3140275	0x31ac30	2669132	72181	0	0	FROZEN
51000	3142560	0x31ac30	2669132	72181	0	0	FROZEN
51120	3144784	0x31ac30	2669132	72181	0	0	FROZEN
51240	3147052	0x31ac30	2669132	72181	0	0	FROZEN
51360	3149230	0x31a490	2669132	72181	0	0	FROZEN
51480	3151411	0x31ac30	2669132	72181	0	0	FROZEN
51600	3153499	0x31ac30	2669132	72181	0	0	FROZEN
51720	3155659	0x31ac30	2669132	72181	0	0	FROZEN
51840	3157895	0x31ac30	2669132	72181	0	0	FROZEN
51960	3160084	0x31ac30	2669132	72181	0	0	FROZEN
52080	3162166	0x31ac30	2669132	72181	0	0	FROZEN
52200	3164409	0x31ac30	2669132	72181	0	0	FROZEN
52320	3166626	0x31ac30	2669132	72181	0	0	FROZEN
52440	3168868	0x31ac30	2669132	72181	0	0	FROZEN
52560	3171038	0x31ac30	2669132	72181	0	0	FROZEN
52680	3173167	0x31ac30	2669132	72181	0	0	FROZEN
52800	3175352	0x31ac30	2669132	72181	0	0	FROZEN
52920	3177456	0x31ac30	2669132	72181	0	0	FROZEN
53040	3179627	0x31ac30	2669132	72181	0	0	FROZEN
53160	3181738	0x31ac30	2669132	72181	0	0	FROZEN
53280	3183999	0x31ac30	2669132	72181	0	0	FROZEN
53400	3186270	0x31ac30	2669132	72181	0	0	FROZEN
53520	3188520	0x31ac30	2669132	72181	0	0	FROZEN
53640	3190689	0x31ac30	2669132	72181	0	0	FROZEN
53760	3192802	0x31ac30	2669132	72181	0	0	FROZEN
53880	3195017	0x31ac30	2669132	72181	0	0	FROZEN
54000	3197171	0x31ac30	2669132	72181	0	0	FROZEN
54120	3199399	0x31ac30	2669132	72181	0	0	FROZEN
54240	3201673	0x31ac30	2669132	72181	0	0	FROZEN
54360	3203936	0x31ac30	2669132	72181	0	0	FROZEN
54480	3206088	0x31ac30	2669132	72181	0	0	FROZEN
54600	3208213	0x31ac30	2669132	72181	0	0	FROZEN
54720	3210362	0x31ac30	2669132	72181	0	0	FROZEN
54840	3212533	0x31ac30	2669132	72181	0	0	FROZEN
