block	distinct	logline	w29	w31	s29	s31	dormant
349	13	2663186	0	306	0	306	618
350	13	2664736	0	302	0	302	612
351	13	2666266	0	304	0	304	611
352	13	2667805	0	301	0	301	606
353	13	2669326	0	302	0	302	608
354	13	2670852	0	298	0	298	600
355	13	2672362	0	308	0	308	620
356	13	2673917	0	306	0	306	614
357	13	2675463	0	302	0	302	609
358	13	2676990	0	302	0	302	606
359	13	2678513	0	307	0	307	619
360	13	2680066	0	304	0	304	613
361	13	2681607	0	301	0	301	607
362	13	2683130	0	306	0	306	617
363	13	2684676	0	298	0	298	600
364	13	2686180	0	306	0	306	620
365	13	2687732	0	304	0	304	618
366	13	2689277	0	304	0	304	618
367	13	2690817	0	305	0	305	616
368	13	2692363	0	300	0	300	603
369	13	2693879	0	304	0	304	609
370	13	2695410	0	306	0	306	614
371	13	2696956	0	299	0	299	602
372	13	2698469	0	302	0	302	610
373	13	2699997	0	304	0	304	614
374	13	2701539	0	303	0	303	614
375	13	2703072	0	299	0	299	600
376	13	2704584	0	306	0	306	618
377	13	2706134	0	306	0	306	616
378	13	2707681	0	301	0	301	612
379	13	2709209	0	302	0	302	610
380	13	2710732	0	298	0	298	600
381	13	2712245	0	304	0	304	613
382	13	2713776	0	297	0	297	598
383	13	2715285	0	305	0	305	617
384	13	2716826	0	304	0	304	611
385	13	2718364	0	304	0	304	611
386	13	2719897	0	302	0	302	609
387	13	2721430	0	300	0	300	608
388	13	2722951	0	304	0	304	613
389	13	2724486	0	299	0	299	601
390	13	2725997	0	304	0	304	612
391	13	2727531	0	300	0	300	606
392	13	2729051	0	305	0	305	618
393	13	2730599	0	301	0	301	606
394	13	2732118	0	304	0	304	612
395	13	2733658	0	301	0	301	608
396	13	2735182	0	301	0	301	603
397	13	2736701	0	301	0	301	607
398	13	2738223	0	302	0	302	608
399	13	2739749	0	302	0	302	609
400	13	2741275	0	302	0	302	608
401	13	2742806	0	303	0	303	612
402	13	2744338	0	300	0	300	605
403	13	2745857	0	307	0	307	621
404	13	2747411	0	304	0	304	613
405	13	2748945	0	303	0	303	611
406	13	2750482	0	300	0	300	604
407	13	2751999	0	303	0	303	608
408	13	2753527	0	301	0	301	606
409	13	2755049	0	306	0	306	616
410	13	2756596	0	301	0	301	606
411	13	2758118	0	305	0	305	611
412	13	2759659	0	300	0	300	605
413	13	2761177	0	300	0	300	608
414	13	2762699	0	307	0	307	619
415	13	2764252	0	298	0	298	601
416	13	2765758	0	302	0	302	609
417	13	2767290	0	305	0	305	615
418	13	2768829	0	305	0	305	617
419	13	2770376	0	303	0	303	612
420	13	2771907	0	302	0	302	609
421	13	2773440	0	304	0	304	614
422	13	2774976	0	302	0	302	605
423	13	2776498	0	304	0	304	612
424	13	2778038	0	302	0	302	608
425	13	2779564	0	302	0	302	609
426	13	2781091	0	306	0	306	615
427	13	2782638	0	304	0	304	615
428	13	2784181	0	302	0	302	606
429	13	2785704	0	301	0	301	608
430	13	2787228	0	299	0	299	603
431	13	2788743	0	307	0	307	617
432	13	2790293	0	302	0	302	612
433	13	2791823	0	305	0	305	616
434	13	2793369	0	302	0	302	610
435	13	2794897	0	299	0	299	603
436	13	2796411	0	302	0	302	612
437	13	2797941	0	299	0	299	601
438	13	2799454	0	307	0	307	624
439	13	2801011	0	300	0	300	602
440	13	2802527	0	305	0	305	617
441	13	2804069	0	304	0	304	613
442	13	2805609	0	299	0	299	604
443	13	2807125	0	303	0	303	611
444	13	2808656	0	304	0	304	612
445	13	2810193	0	297	0	297	597
446	13	2811692	0	305	0	305	612
447	13	2813234	0	302	0	302	609
448	13	2814760	0	305	0	305	619
449	13	2816309	0	301	0	301	608
450	13	2817833	0	300	0	300	606
451	13	2819352	0	306	0	306	617
452	13	2820901	0	297	0	297	599
453	13	2822402	0	307	0	307	619
454	13	2823954	0	308	0	308	621
455	13	2825511	0	303	0	303	609
456	13	2827046	0	303	0	303	609
457	13	2828575	0	298	0	298	599
458	13	2830083	0	303	0	303	608
459	13	2831611	0	299	0	299	604
460	13	2833127	0	304	0	304	614
461	13	2834663	0	304	0	304	612
462	13	2836203	0	305	0	305	615
463	13	2837748	0	304	0	304	617
464	13	2839286	0	301	0	301	608
465	13	2840810	0	304	0	304	611
466	13	2842349	0	303	0	303	610
467	13	2843878	0	306	0	306	615
468	13	2845425	0	305	0	305	615
469	13	2846970	0	301	0	301	612
470	13	2848497	0	299	0	299	605
471	13	2850014	0	306	0	306	614
472	13	2851554	0	299	0	299	603
473	13	2853069	0	304	0	304	612
474	13	2854608	0	302	0	302	608
475	13	2856134	0	305	0	305	618
476	13	2857682	0	298	0	298	604
477	13	2859189	0	307	0	307	619
478	13	2860742	0	304	0	304	615
479	13	2862285	0	306	0	306	619
480	13	2863835	0	300	0	300	611
481	13	2865360	0	305	0	305	616
482	13	2866900	0	301	0	301	604
483	13	2868415	0	304	0	304	610
484	13	2869955	0	306	0	306	619
485	13	2871506	0	306	0	306	618
486	13	2873049	0	301	0	301	607
487	13	2874577	0	306	0	306	617
488	13	2876119	0	302	0	302	611
489	13	2877654	0	304	0	304	617
490	13	2879192	0	301	0	301	609
491	13	2880717	0	304	0	304	614
492	13	2882259	0	302	0	302	607
493	13	2883783	0	298	0	298	605
494	13	2885298	0	305	0	305	613
495	13	2886835	0	302	0	302	609
496	13	2888367	0	304	0	304	613
497	13	2889902	0	303	0	304	613
498	13	2891440	0	297	0	296	597
499	13	2892937	0	305	0	305	615
500	13	2894482	0	302	0	302	612
501	13	2896012	0	304	0	304	615
502	13	2897548	0	300	0	300	605
503	13	2899067	0	303	0	303	610
504	13	2900603	0	301	0	301	606
505	13	2902125	0	305	0	305	615
506	13	2903669	0	301	0	301	606
507	13	2905191	0	305	0	305	616
508	13	2906731	0	303	0	303	611
509	13	2908267	0	305	0	305	616
510	13	2909808	0	303	0	303	609
511	13	2911343	0	303	0	303	613
512	13	2912875	0	304	0	304	614
513	13	2914417	0	304	0	304	618
514	13	2915957	0	301	0	301	607
515	13	2917479	0	302	0	302	607
516	13	2919010	0	302	0	302	611
517	13	2920539	0	301	0	301	606
518	13	2922060	0	301	0	301	609
519	13	2923585	0	305	0	305	614
520	13	2925129	0	303	0	303	611
521	13	2926659	0	303	0	303	608
522	13	2928186	0	301	0	301	606
523	13	2929714	0	305	0	305	614
524	13	2931252	0	300	0	300	605
525	13	2932770	0	302	0	302	608
526	13	2934295	0	306	0	306	621
527	13	2935848	0	302	0	302	616
528	13	2937381	0	301	0	301	612
529	13	2938915	0	300	0	300	611
530	13	2940440	0	303	0	303	616
531	13	2941976	0	302	0	302	613
532	13	2943507	0	301	0	301	614
533	13	2945037	0	302	0	302	615
534	13	2946569	0	301	0	301	614
535	13	2948105	0	299	0	299	611
536	13	2949623	0	303	0	303	615
537	13	2951164	0	301	0	301	613
538	13	2952693	0	301	0	301	611
539	13	2954220	0	300	0	300	609
540	13	2955743	0	302	0	302	614
541	13	2957275	0	302	0	302	615
542	13	2958806	0	298	0	298	609
543	13	2960326	0	302	0	302	619
544	13	2961863	0	303	0	303	615
545	13	2963404	0	303	0	303	615
546	13	2964939	0	303	0	303	617
547	13	2966475	0	302	0	302	614
548	13	2968013	0	301	0	301	608
549	13	2969537	0	302	0	302	614
550	13	2971070	0	303	0	303	611
551	13	2972596	0	299	0	299	608
552	13	2974119	0	303	0	303	612
553	13	2975657	0	302	0	302	615
554	13	2977190	0	303	0	303	617
555	13	2978727	0	302	0	302	615
556	13	2980262	0	299	0	299	604
557	13	2981778	0	302	0	303	612
558	13	2983314	0	299	0	298	605
559	13	2984824	0	299	0	299	609
560	13	2986345	0	303	0	303	612
561	13	2987876	0	302	0	302	612
562	13	2989413	0	301	0	301	611
563	13	2990940	0	303	0	303	616
564	13	2992476	0	299	0	299	603
565	13	2993991	0	303	0	303	613
566	13	2995524	0	301	0	301	611
567	13	2997052	0	300	0	300	609
568	13	2998575	0	302	0	302	612
569	13	3000112	0	302	0	302	611
570	13	3001641	0	298	0	298	605
571	13	3003157	0	303	0	303	616
572	13	3004693	0	304	0	304	617
573	13	3006231	0	302	0	302	612
574	13	3007767	0	303	0	303	617
575	13	3009305	0	302	0	302	610
576	13	3010833	0	298	0	298	603
577	13	3012346	0	303	0	303	617
578	13	3013883	0	300	0	300	607
579	13	3015404	0	301	0	302	611
580	13	3016928	0	300	0	299	605
581	13	3018445	0	299	0	299	613
582	13	3019973	0	301	0	301	608
583	13	3021497	0	302	0	302	612
584	13	3023030	0	299	0	299	604
585	13	3024543	0	301	0	301	612
586	13	3026071	0	302	0	302	610
587	13	3027606	0	300	0	300	611
588	13	3029131	0	301	0	301	611
589	13	3030658	0	296	0	296	597
590	13	3032155	0	300	0	300	602
591	13	3033670	0	307	0	307	618
592	13	3035222	0	306	0	306	620
593	13	3036774	0	302	0	302	610
594	13	3038301	0	305	0	305	618
595	13	3039849	0	302	0	302	610
596	13	3041377	0	300	0	300	608
597	13	3042896	0	296	0	296	597
598	13	3044393	0	305	0	305	612
599	13	3045935	0	301	0	301	606
600	13	3047456	0	298	0	298	603
601	13	3048969	0	304	0	304	614
602	13	3050505	0	299	0	299	605
603	13	3052022	0	302	0	302	608
604	13	3053547	0	305	0	305	616
605	13	3055093	0	303	0	303	614
606	13	3056627	0	304	0	304	610
607	13	3058164	0	303	0	303	611
608	13	3059695	0	301	0	301	605
609	13	3061215	0	306	0	306	620
610	13	3062767	0	305	0	305	617
611	13	3064313	0	304	0	304	616
612	13	3065851	0	306	0	306	614
613	13	3067396	0	305	0	305	617
614	13	3068943	0	297	0	297	595
615	13	3070440	0	306	0	306	616
616	13	3071987	0	300	0	300	606
617	13	3073507	0	304	0	304	609
618	13	3075044	0	303	0	303	612
619	13	3076575	0	299	0	299	600
620	13	3078087	0	305	0	305	613
621	13	3079623	0	296	0	296	599
622	13	3081127	0	306	0	306	615
623	13	3082674	0	305	0	305	617
624	13	3084215	0	302	0	302	612
625	13	3085751	0	304	0	304	611
626	13	3087283	0	304	0	304	612
627	13	3088823	0	302	0	302	610
628	13	3090351	0	301	0	301	606
629	13	3091872	0	306	0	306	618
630	13	3093422	0	302	0	302	610
631	13	3094950	0	304	0	304	610
632	13	3096488	0	304	0	304	615
633	13	3098024	0	302	0	302	606
634	13	3099548	0	302	0	302	608
635	13	3101080	0	301	0	301	608
636	13	3102603	0	298	0	298	602
637	13	3104109	0	303	0	303	609
638	13	3105644	0	300	0	300	606
639	13	3107163	0	304	0	304	614
640	13	3108699	0	297	0	297	598
641	13	3110205	0	307	0	307	617
642	13	3111755	0	300	0	300	607
643	13	3113276	0	303	0	303	614
644	13	3114810	0	302	0	302	607
645	13	3116335	0	298	0	298	601
646	13	3117845	0	306	0	306	617
647	13	3119394	0	302	0	302	608
648	13	3120920	0	302	0	302	610
649	13	3122447	0	304	0	304	613
650	13	3123987	0	300	0	300	600
651	13	3125501	0	304	0	304	611
652	13	3127033	0	304	0	304	613
653	13	3128574	0	304	0	304	612
654	13	3130108	0	302	0	302	610
655	13	3131635	0	297	0	297	600
656	13	3133142	0	301	0	301	606
657	13	3134664	0	304	0	304	615
658	13	3136207	0	300	0	300	606
659	13	3137726	0	306	0	306	616
660	13	3139269	0	302	0	302	616
661	13	3140809	0	305	0	305	618
662	13	3142350	0	304	0	304	612
663	13	3143890	0	303	0	303	613
664	13	3145423	0	306	0	306	620
665	13	3146974	0	304	0	304	612
666	13	3148514	0	302	0	302	609
667	13	3150041	0	305	0	305	618
668	13	3151582	0	301	0	301	609
669	13	3153109	0	298	0	298	600
670	13	3154616	0	307	0	307	619
671	13	3156169	0	300	0	300	607
672	13	3157689	0	301	0	301	604
673	13	3159209	0	305	0	305	616
674	13	3160755	0	306	0	306	617
675	13	3162304	0	305	0	305	615
676	13	3163843	0	301	0	301	609
677	13	3165374	0	304	0	304	614
678	13	3166910	0	303	0	303	610
679	13	3168438	0	298	0	298	600
680	13	3169948	0	304	0	304	614
681	13	3171490	0	300	0	300	606
682	13	3173009	0	303	0	303	609
683	13	3174538	0	301	0	301	607
684	13	3176061	0	303	0	303	613
685	13	3177593	0	299	0	299	603
686	13	3179107	0	307	0	307	621
687	13	3180662	0	306	0	307	617
688	13	3182209	0	297	0	296	594
689	13	3183712	0	304	0	304	615
690	13	3185249	0	303	0	303	612
691	13	3186780	0	300	0	301	607
692	13	3188302	0	303	0	302	607
693	13	3189831	0	298	0	298	598
694	13	3191332	0	301	0	301	610
695	13	3192864	0	301	0	301	607
696	13	3194386	0	306	0	306	617
697	13	3195928	0	300	0	300	607
698	13	3197450	0	302	0	302	609
699	13	3198982	0	306	0	306	619
700	13	3200526	0	299	0	299	608
701	13	3202046	0	301	0	301	610
702	13	3203571	0	303	0	303	611
703	13	3205108	0	301	0	301	608
704	13	3206632	0	303	0	303	610
705	13	3208161	0	298	0	298	600
706	13	3209671	0	306	0	307	617
707	13	3211218	0	301	0	300	603
708	13	3212739	0	303	0	303	613
709	13	3214271	0	300	0	300	608
710	13	3215793	0	300	0	300	605
711	13	3217312	0	305	0	305	618
712	13	3218857	0	294	0	294	594
713	13	3220347	0	306	0	306	615
714	13	3221894	0	303	0	303	610
715	13	3223424	0	305	0	305	613
716	13	3224966	0	298	0	298	600
717	13	3226470	0	302	0	302	606
718	13	3228000	0	306	0	306	620
719	13	3229544	0	301	0	301	606
720	13	3231065	0	299	0	299	602
721	13	3232579	0	303	0	303	612
722	13	3234116	0	303	0	303	611
723	13	3235647	0	304	0	304	613
724	13	3237188	0	299	0	300	605
725	13	3238701	0	306	0	305	616
726	13	3240244	0	306	0	306	619
727	13	3241793	0	299	0	299	603
728	13	3243308	0	300	0	300	609
729	13	3244830	0	302	0	302	611
730	13	3246359	0	304	0	304	611
731	13	3247898	0	301	0	301	606
732	13	3249415	0	302	0	302	608
733	13	3250943	0	305	0	305	614
734	13	3252487	0	306	0	306	616
735	13	3254030	0	305	0	305	612
736	13	3255572	0	297	0	297	597
737	13	3257076	0	302	0	302	611
738	13	3258605	0	303	0	303	614
739	13	3260139	0	301	0	301	609
740	13	3261663	0	299	0	299	603
741	13	3263178	0	305	0	305	616
742	13	3264724	0	305	0	305	612
743	13	3266258	0	301	0	301	611
744	13	3267791	0	301	0	302	609
745	13	3269316	0	294	0	293	589
746	13	3270800	0	305	0	306	616
747	13	3272347	0	297	0	296	597
748	13	3273845	0	301	0	301	608
749	13	3275369	0	305	0	305	615
750	13	3276913	0	303	0	303	609
751	13	3278442	0	302	0	302	611
752	13	3279971	0	300	0	300	603
753	13	3281487	0	303	0	303	612
754	13	3283025	0	306	0	306	616
755	13	3284566	0	303	0	303	613
756	13	3286105	0	301	0	301	609
757	13	3287629	0	301	0	301	605
758	13	3289150	0	301	0	301	605
759	13	3290671	0	300	0	300	607
760	13	3292191	0	302	0	302	611
761	13	3293720	0	303	0	303	610
762	13	3295256	0	307	0	307	617
763	13	3296806	0	299	0	299	601
764	13	3298312	0	302	0	302	611
765	13	3299847	0	305	0	305	612
766	13	3301383	0	305	0	305	616
767	13	3302923	0	301	0	301	606
768	13	3304443	0	302	0	302	607
769	13	3305974	0	299	0	299	602
770	13	3307485	0	306	0	306	618
771	13	3309034	0	298	0	299	604
772	13	3310546	0	304	0	303	610
773	13	3312080	0	302	0	303	611
774	13	3313610	0	300	0	299	606
775	13	3315126	0	303	0	303	611
776	13	3316663	0	304	0	304	614
777	13	3318199	0	305	0	305	617
778	13	3319745	0	306	0	306	615
779	13	3321292	0	301	0	301	606
