Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 --call-graph fp --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 137186
Event count: 111751374042

Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Shared Object
0.43%     VU1Interpreter::progressXgkick()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.42%     [kernel.kallsyms][+ffffffe761a795a0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.40%     VU1Interpreter::applyFmacDest(float*, float*, unsigned char)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.40%     [kernel.kallsyms][+ffffffe760a277ec]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.39%     [kernel.kallsyms][+ffffffe760a2784c]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.39%     VU1Interpreter::applyFmacDestAcc(float*, unsigned char)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.38%     [kernel.kallsyms][+ffffffe760a2168c]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.37%     void ParallelGS::GSInterface::drawing_kick_append<false, false, false, 3u>()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.34%     GS::writeRegisterPacked(unsigned char, unsigned long, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.31%     [kernel.kallsyms][+ffffffe760b99edc]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.29%     __vfprintf                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            /apex/com.android.runtime/lib64/bionic/libc.so
0.27%     GS::vertexKick(bool)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.26%     [kernel.kallsyms][+ffffffe760b98830]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.26%     libunwind::findUnwindSectionsByPhdr(dl_phdr_info*, unsigned long, void*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.26%     GS::buildDrawBatch(int) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.25%     sub_0037E120_0x37e120(unsigned char*, R5900Context*, PS2Runtime*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.25%     [kernel.kallsyms][+ffffffe761a79608]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.24%     [kernel.kallsyms][+ffffffe761a8e664]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.22%     __emutls_get_address                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.22%     VU1Interpreter::decodeLowerUsage(unsigned int) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.21%     VU1Interpreter::queueStore(unsigned int, unsigned int const*, unsigned char)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.21%     [kernel.kallsyms][+ffffffe760ad37c0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.20%     [kernel.kallsyms][+ffffffe760a15520]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.19%     [kernel.kallsyms][+ffffffe760a21684]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.19%     [kernel.kallsyms][+ffffffe760dd6c84]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.19%     pthread_mutex_unlock                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  /apex/com.android.runtime/lib64/bionic/libc.so
0.18%     GS::processGIFPacket(unsigned char const*, unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.17%     [kernel.kallsyms][+ffffffe7611d5040]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.17%     !!!0000!a0d82c13dd4b4e4f31b6cd30a2cb0d!a9ee82cd83!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    /vendor/lib64/egl/libGLESv2_adreno.so
0.17%     [kernel.kallsyms][+ffffffe761a8e6e0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.16%     VU1Interpreter::decodeUpperUsage(unsigned int) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.15%     [kernel.kallsyms][+ffffffe761a79580]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.15%     __sfvwrite                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            /apex/com.android.runtime/lib64/bionic/libc.so
0.14%     VU1Interpreter::resetScheduler()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.14%     [kernel.kallsyms][+ffffffe761a7ae44]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.14%     void ParallelGS::GSInterface::packed_XYZ<false, true, (ParallelGS::PRIMType)4>(void const*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.13%     [kernel.kallsyms][+ffffffe760dd6c20]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.13%     pthread_mutex_lock                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    /apex/com.android.runtime/lib64/bionic/libc.so
0.13%     GS::recordDrawDebugEventUnlocked(int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
