Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 --call-graph fp --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 137186
Event count: 111751374042

Children  Self    Symbol
3.84%     0.00%   [kernel.kallsyms][+ffffffe760a2e3f2]
3.84%     0.00%   [kernel.kallsyms][+ffffffe760af8146]
3.84%     0.00%   [kernel.kallsyms][+ffffffe761a7d916]
3.84%     0.00%   [kernel.kallsyms][+ffffffe760dfb2c2]
3.84%     0.00%   [kernel.kallsyms][+ffffffe760e1943a]
3.83%     0.00%   [kernel.kallsyms][+ffffffe760e19622]
3.83%     0.00%   [kernel.kallsyms][+ffffffe760e19d26]
3.83%     0.00%   [kernel.kallsyms][+ffffffe760e1d04a]
3.83%     0.00%   [kernel.kallsyms][+ffffffe760e20b2a]
3.82%     0.00%   [kernel.kallsyms][+ffffffe760e23c72]
3.82%     0.00%   [kernel.kallsyms][+ffffffe760d315fa]
3.69%     0.01%   std::__ndk1::condition_variable::notify_one()
3.67%     0.40%   VU1Interpreter::applyFmacDest(float*, float*, unsigned char)
3.63%     0.01%   GS::noteGifPath(GifPathId)
3.61%     3.60%   VU1Interpreter::execLower(unsigned int, unsigned char*, unsigned int, GS&, PS2Memory*, unsigned int)
3.59%     3.58%   VU1Interpreter::calculateFmacExactResults(unsigned char, double*) const
3.31%     0.00%   [kernel.kallsyms][+ffffffe760bca446]
3.13%     0.00%   [kernel.kallsyms][+ffffffe760bca252]
3.09%     0.00%   android_app_entry
3.09%     0.00%   android_main
3.09%     0.00%   main
3.05%     0.00%   PS2Runtime::run()
3.00%     2.48%   VU1Interpreter::getDecodedInstructionPairForPc(unsigned char const*, unsigned int, PS2Memory*, unsigned int)
2.98%     0.06%   sub_0022A830_0x22a830(unsigned char*, R5900Context*, PS2Runtime*)
2.90%     0.00%   [kernel.kallsyms][+ffffffe760d2c77e]
2.87%     0.00%   [kernel.kallsyms][+ffffffe760bcd2be]
2.85%     0.00%   [kernel.kallsyms][+ffffffe760b09cb6]
2.78%     2.77%   @plt
2.74%     2.73%   VU1Interpreter::calculateFmacProductSticky(unsigned char) const
2.68%     0.00%   EndDrawing
2.39%     0.00%   [kernel.kallsyms][+ffffffe760d2ff4a]
2.26%     2.26%   [kernel.kallsyms][+ffffffe761a8e860]
2.23%     0.00%   [kernel.kallsyms][+ffffffe761704d6e]
1.98%     0.00%   [kernel.kallsyms][+ffffffe7608580a2]
1.98%     0.01%   sub_0022A408_0x22a408(unsigned char*, R5900Context*, PS2Runtime*)
1.94%     0.06%   VU1Interpreter::execute(unsigned char*, unsigned int, unsigned char*, unsigned int, GS&, PS2Memory*, unsigned int, unsigned int, unsigned int, unsigned int)
1.93%     0.04%   sub_0022A128_0x22a128(unsigned char*, R5900Context*, PS2Runtime*)
1.87%     0.00%   [kernel.kallsyms][+ffffffe760d2c52a]
1.82%     0.01%   sub_00128AF0_0x128af0(unsigned char*, R5900Context*, PS2Runtime*)
1.77%     1.76%   VU1Interpreter::markPairWrites(VU1Interpreter::DecodedInstructionPair const&)
1.75%     0.00%   [kernel.kallsyms][+ffffffe760d2b9d6]
1.65%     0.00%   [kernel.kallsyms][+ffffffe760b9882a]
1.63%     0.00%   [kernel.kallsyms][+ffffffe760d2c826]
1.62%     0.00%   [kernel.kallsyms][+ffffffe760d2ba4e]
1.62%     0.00%   [kernel.kallsyms][+ffffffe760d1273a]
1.58%     0.00%   [kernel.kallsyms][+ffffffe760d1415a]
1.53%     0.06%   void ParallelGS::GSInterface::packed_STQRGBAXYZ<true, (ParallelGS::PRIMType)4, 1>(void const*, unsigned int)
1.46%     0.10%   void ParallelGS::GSInterface::drawing_kick<(ParallelGS::PRIMType)4>(bool)
1.45%     0.00%   [kernel.kallsyms][+ffffffe760cfbf82]
1.41%     0.08%   WaitTime
1.39%     1.39%   VU1Interpreter::updateFmacFlags(unsigned char const*, unsigned char, unsigned int)
1.38%     0.01%   ParallelGS::GSInterface::flush(unsigned int, ParallelGS::FlushReason)
1.31%     0.37%   void ParallelGS::GSInterface::drawing_kick_append<false, false, false, 3u>()
1.31%     1.31%   [kernel.kallsyms][+ffffffe760a47efc]
1.30%     0.00%   [kernel.kallsyms][+ffffffe760d89482]
1.26%     0.00%   [kernel.kallsyms][+ffffffe760855aaa]
1.17%     0.03%   ParallelGS::GSInterface::drawing_kick_update_state(ParallelGS::GSInterface::FBFeedbackMode, muglm::tvec4<int> const&, muglm::tvec4<int> const&)
1.17%     1.16%   clock_gettime
1.15%     1.15%   VU1Interpreter::broadcast(float const*, unsigned char)
1.09%     0.02%   ParallelGS::GSInterface::drawing_kick_update_texture(ParallelGS::GSInterface::FBFeedbackMode, muglm::tvec4<int> const&, muglm::tvec4<int> const&)
1.05%     0.00%   [kernel.kallsyms][+ffffffe760d8b60e]
1.00%     0.00%   [kernel.kallsyms][+ffffffe760d85772]
1.00%     1.00%   VU1Interpreter::queueVfWrite(unsigned char, unsigned char, float const*, unsigned int)
0.99%     0.02%   sub_002306A8_0x2306a8(unsigned char*, R5900Context*, PS2Runtime*)
0.94%     0.00%   [kernel.kallsyms][+ffffffe760d124ea]
0.93%     0.93%   [kernel.kallsyms][+ffffffe760cfb750]
0.91%     0.00%   [kernel.kallsyms][+ffffffe760d2c8ee]
0.88%     0.00%   [kernel.kallsyms][+ffffffe760d10032]
0.87%     0.87%   __kernel_clock_gettime
0.86%     0.00%   sub_0022A368_0x22a368(unsigned char*, R5900Context*, PS2Runtime*)
0.85%     0.00%   [kernel.kallsyms][+ffffffe760d877a6]
0.83%     0.02%   sub_00229FC8_0x229fc8(unsigned char*, R5900Context*, PS2Runtime*)
0.75%     0.75%   [kernel.kallsyms][+ffffffe760a21688]
0.73%     0.73%   [kernel.kallsyms][+ffffffe760a21680]
0.70%     0.70%   VU1Interpreter::applyDest(float*, float const*, unsigned char)
0.68%     0.00%   ParallelGS::GSRenderer::flush_cache_upload()
0.67%     0.56%   __memcpy_aarch64_nt
0.61%     0.00%   [kernel.kallsyms][+ffffffe760d87326]
0.61%     0.61%   [kernel.kallsyms][+ffffffe760d2cbf8]
0.60%     0.02%   snprintf(char*, unsigned long pass_object_size1, char const*, ...)
0.60%     0.03%   __vsnprintf_chk
0.57%     0.03%   vsnprintf
0.55%     0.00%   [kernel.kallsyms][+ffffffe760d86972]
0.53%     0.00%   void ParallelGS::GSInterface::packed_ADONLY<1>(void const*, unsigned int)
0.52%     0.01%   sub_00129160_0x129160(unsigned char*, R5900Context*, PS2Runtime*)
0.50%     0.00%   ParallelGS::GSRenderer::flush_palette_upload()
0.50%     0.00%   PS2Runtime::handleSyscall(unsigned char*, R5900Context*, unsigned int)
0.49%     0.00%   ps2_syscalls::dispatchNumericSyscall(unsigned int, unsigned char*, R5900Context*, PS2Runtime*)
0.48%     0.25%   sub_0037E120_0x37e120(unsigned char*, R5900Context*, PS2Runtime*)
0.48%     0.11%   VU1Interpreter::decodeInstructionPair(unsigned char const*, unsigned int) const
0.48%     0.00%   [kernel.kallsyms][+ffffffe760d2d8a2]
0.47%     0.00%   void ParallelGS::GSInterface::drawing_kick_primitive<true, false, true, 2u>(bool)
0.47%     0.00%   eglSwapBuffers
0.47%     0.00%   android::eglSwapBuffersWithDamageKHRImpl(void*, void*, int*, int)
0.47%     0.01%   void ParallelGS::GSInterface::drawing_kick_append<true, false, true, 2u>()
0.47%     0.00%   !!!0000!04fe7c7713a0660472688458ecb7a2!a9ee82cd83!
0.47%     0.00%   !!!0000!10f39af3d5dda97a64124dee6a3783!a9ee82cd83!
0.47%     0.02%   sub_00363490_0x363490(unsigned char*, R5900Context*, PS2Runtime*)
0.46%     0.00%   ParallelGS::GSInterface::a_d_XYZ2(unsigned long)
0.46%     0.00%   Vulkan::CommandBuffer::allocate_constant_data(unsigned int, unsigned int, unsigned long)
0.46%     0.00%   Vulkan::Device::request_uniform_block(Vulkan::BufferBlock&, unsigned long)
0.46%     0.00%   ParallelGS::GSInterface::flush_render_pass(ParallelGS::FlushReason)
0.44%     0.00%   sub_003C1638_0x3c1638(unsigned char*, R5900Context*, PS2Runtime*)
0.43%     0.08%   scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::deallocate(void*, scudo::Chunk::Origin, unsigned long, unsigned long)
0.42%     0.00%   [kernel.kallsyms][+ffffffe760d2fcee]
0.42%     0.27%   GS::vertexKick(bool)
0.42%     0.00%   libunwind::UnwindCursor<libunwind::LocalAddressSpace, libunwind::Registers_arm64>::setInfoBasedOnIPRegister(bool)
0.42%     0.42%   [kernel.kallsyms][+ffffffe761a795a0]
0.41%     0.00%   [kernel.kallsyms][+ffffffe761a7d88e]
0.40%     0.13%   sub_00376938_0x376938(unsigned char*, R5900Context*, PS2Runtime*)
0.40%     0.40%   [kernel.kallsyms][+ffffffe760a277ec]
0.39%     0.39%   [kernel.kallsyms][+ffffffe760a2784c]
0.38%     0.00%   sub_00423DE0_0x423de0(unsigned char*, R5900Context*, PS2Runtime*)
0.38%     0.38%   [kernel.kallsyms][+ffffffe760a2168c]
0.37%     0.00%   sub_001216E0_0x1216e0(unsigned char*, R5900Context*, PS2Runtime*)
0.37%     0.00%   sub_00111408_0x111408(unsigned char*, R5900Context*, PS2Runtime*)
0.37%     0.00%   EeScheduler::waitSemaphore(int)
0.37%     0.00%   [kernel.kallsyms][+ffffffe760d2b97e]
0.37%     0.29%   __vfprintf
0.36%     0.00%   dl_iterate_phdr
0.36%     0.00%   [linker]__loader_dl_iterate_phdr
0.35%     0.07%   sub_0013D818_0x13d818(unsigned char*, R5900Context*, PS2Runtime*)
0.35%     0.00%   [kernel.kallsyms][+ffffffe760dd699e]
0.34%     0.34%   GS::writeRegisterPacked(unsigned char, unsigned long, unsigned long)
0.34%     0.00%   [kernel.kallsyms][+ffffffe761a7d95e]
0.34%     0.00%   [kernel.kallsyms][+ffffffe760a482da]
0.34%     0.00%   [kernel.kallsyms][+ffffffe761a90ece]
0.34%     0.08%   sub_001E9A30_0x1e9a30(unsigned char*, R5900Context*, PS2Runtime*)
0.33%     0.00%   sub_0022C620_0x22c620(unsigned char*, R5900Context*, PS2Runtime*)
0.32%     0.11%   scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::quarantineOrDeallocateChunk(scudo::Options const&, void*, scudo::Chunk::UnpackedHeader*, unsigned long)
0.31%     0.31%   [kernel.kallsyms][+ffffffe760b99edc]
0.31%     0.00%   libunwind::UnwindCursor<libunwind::LocalAddressSpace, libunwind::Registers_arm64>::step(bool)
0.30%     0.00%   __cxa_throw
0.29%     0.00%   _Unwind_RaiseException
0.29%     0.07%   sub_0038B0F8_0x38b0f8(unsigned char*, R5900Context*, PS2Runtime*)
0.29%     0.00%   [kernel.kallsyms][+ffffffe760b99ea2]
0.29%     0.01%   std::__ndk1::condition_variable::wait(std::__ndk1::unique_lock<std::__ndk1::mutex>&)
0.29%     0.00%   sub_00354F98_0x354f98(unsigned char*, R5900Context*, PS2Runtime*)
0.28%     0.00%   [kernel.kallsyms][+ffffffe760d2b2fe]
0.28%     0.00%   sub_0022C3B8_0x22c3b8(unsigned char*, R5900Context*, PS2Runtime*)
0.28%     0.00%   ParallelGS::GSRenderer::flush_rendering(ParallelGS::RenderPass const&)
0.27%     0.00%   Vulkan::CommandBuffer::dispatch(unsigned int, unsigned int, unsigned int)
0.27%     0.00%   ParallelGS::GSRenderer::ensure_command_buffer(Util::IntrusivePtr<Vulkan::CommandBuffer>&, Vulkan::CommandBuffer::Type)
0.27%     0.00%   EeScheduler::blockCurrent(EeWaitState)
0.27%     0.00%   Vulkan::Device::request_command_buffer(Vulkan::CommandBuffer::Type)
0.27%     0.00%   Vulkan::Device::request_command_buffer_nolock(unsigned int, Vulkan::CommandBuffer::Type, bool)
0.27%     0.00%   pthread_cond_wait
0.26%     0.00%   [kernel.kallsyms][+ffffffe760a1495a]
0.26%     0.00%   [kernel.kallsyms][+ffffffe760a24902]
0.26%     0.00%   [kernel.kallsyms][+ffffffe760ad3c72]
0.26%     0.00%   [kernel.kallsyms][+ffffffe760ad3ce2]
0.26%     0.26%   [kernel.kallsyms][+ffffffe760b98830]
0.26%     0.26%   libunwind::findUnwindSectionsByPhdr(dl_phdr_info*, unsigned long, void*)
0.26%     0.26%   GS::buildDrawBatch(int) const
0.26%     0.00%   [kernel.kallsyms][+ffffffe76083d0da]
0.25%     0.00%   sub_0037DE88_0x37de88(unsigned char*, R5900Context*, PS2Runtime*)
0.25%     0.25%   [kernel.kallsyms][+ffffffe761a79608]
0.24%     0.00%   eglSubDriverAndroid.so[+1d7d6]
0.24%     0.00%   android::Surface::queueBuffer(ANativeWindowBuffer*, int)
0.24%     0.24%   [kernel.kallsyms][+ffffffe761a8e664]
0.24%     0.00%   unwind_phase2
0.24%     0.00%   sub_003550A0_0x3550a0(unsigned char*, R5900Context*, PS2Runtime*)
0.24%     0.03%   sub_0013D1B8_0x13d1b8(unsigned char*, R5900Context*, PS2Runtime*)
0.23%     0.00%   [kernel.kallsyms][+ffffffe7610528ce]
0.23%     0.00%   ParallelGS::PageTracker::mark_transfer_write(ParallelGS::PageRect const&)
0.23%     0.01%   sub_003C85D0_0x3c85d0(unsigned char*, R5900Context*, PS2Runtime*)
0.23%     0.00%   ParallelGS::PageTracker::flush_cached()
0.23%     0.00%   sub_003C8968_0x3c8968(unsigned char*, R5900Context*, PS2Runtime*)
0.22%     0.00%   android::BufferQueueProducer::queueBuffer(int, android::IGraphicBufferProducer::QueueBufferInput const&, android::IGraphicBufferProducer::QueueBufferOutput*)
0.22%     0.01%   sub_00333EF8_0x333ef8(unsigned char*, R5900Context*, PS2Runtime*)
0.22%     0.00%   sub_0022A5A0_0x22a5a0(unsigned char*, R5900Context*, PS2Runtime*)
0.22%     0.22%   __emutls_get_address
0.22%     0.21%   VU1Interpreter::queueStore(unsigned int, unsigned int const*, unsigned char)
0.22%     0.00%   [kernel.kallsyms][+ffffffe760b0d3da]
0.22%     0.01%   sub_002ED490_0x2ed490(unsigned char*, R5900Context*, PS2Runtime*)
0.22%     0.22%   VU1Interpreter::decodeLowerUsage(unsigned int) const
0.21%     0.00%   sub_001218D0_0x1218d0(unsigned char*, R5900Context*, PS2Runtime*)
0.21%     0.01%   operator new(unsigned long)
0.21%     0.01%   sub_00356198_0x356198(unsigned char*, R5900Context*, PS2Runtime*)
0.21%     0.00%   [kernel.kallsyms][+ffffffe760d34bc6]
0.21%     0.21%   [kernel.kallsyms][+ffffffe760ad37c0]
0.21%     0.00%   !!!0000!0e6b00ab8c4b112f9f6effa6a8b2b5!a9ee82cd83!
0.21%     0.01%   malloc
0.21%     0.00%   sub_00121750_0x121750(unsigned char*, R5900Context*, PS2Runtime*)
0.20%     0.00%   sub_001114A0_0x1114a0(unsigned char*, R5900Context*, PS2Runtime*)
0.20%     0.01%   scudo_malloc
0.20%     0.01%   sub_00316F00_0x316f00(unsigned char*, R5900Context*, PS2Runtime*)
0.20%     0.20%   [kernel.kallsyms][+ffffffe760a15520]
0.20%     0.02%   PS2Memory::writeIORegister(unsigned int, unsigned int)::$_2::operator()(unsigned int, unsigned int) const
0.20%     0.00%   ParallelGS::GSRenderer::flush_submit(unsigned long)
0.20%     0.00%   [kernel.kallsyms][+ffffffe760a11732]
0.20%     0.00%   [kernel.kallsyms][+ffffffe761a7e0be]
0.20%     0.00%   [kernel.kallsyms][+ffffffe761a7e0e2]
0.20%     0.04%   sub_0032B6E0_0x32b6e0(unsigned char*, R5900Context*, PS2Runtime*)
0.20%     0.02%   EeScheduler::checkpointDue(unsigned int)
0.20%     0.03%   sub_003CB540_0x3cb540(unsigned char*, R5900Context*, PS2Runtime*)
0.20%     0.00%   !!!0000!ea5a6408884608b8bf75be2039eefa!a9ee82cd83!
0.20%     0.00%   [kernel.kallsyms][+ffffffe761a7e506]
0.19%     0.19%   [kernel.kallsyms][+ffffffe760a21684]
0.19%     0.00%   android::BLASTBufferQueue::onFrameAvailable(android::BufferItem const&)
0.19%     0.00%   android::BufferQueue::ProxyConsumerListener::onFrameAvailable(android::BufferItem const&)
0.19%     0.00%   android::ConsumerBase::onFrameAvailable(android::BufferItem const&)
0.19%     0.19%   [kernel.kallsyms][+ffffffe760dd6c84]
0.19%     0.19%   pthread_mutex_unlock
0.19%     0.00%   android::BLASTBufferQueue::acquireNextBufferLocked(std::__1::optional<android::SurfaceComposerClient::Transaction*>)
0.19%     0.00%   sub_0013F178_0x13f178(unsigned char*, R5900Context*, PS2Runtime*)
0.19%     0.00%   aaudio::AudioStream_internalThreadProc(void*) (.cfi)
0.19%     0.04%   std::__ndk1::mutex::unlock()
0.19%     0.00%   aaudio::AudioStreamInternalPlay::callbackLoop()
0.19%     0.01%   sub_00161AB0_0x161ab0(unsigned char*, R5900Context*, PS2Runtime*)
0.18%     0.00%   !!!0000!e94336f9c3a8e90238c7c8557996da!a9ee82cd83!
0.18%     0.00%   Vulkan::Device::PerFrame::trim_command_pools()
0.18%     0.00%   ParallelGS::GSRenderer::reserve_attribute_scratch(unsigned long, ParallelGS::GSRenderer::AttributeScratch&)
0.18%     0.00%   ParallelGS::GSRenderer::reserve_primitive_buffers(unsigned int)
0.18%     0.00%   rlUpdateTexture
0.18%     0.00%   sub_00121068_0x121068(unsigned char*, R5900Context*, PS2Runtime*)
0.18%     0.00%   _Unwind_Resume
0.18%     0.00%   libvulkan_freedreno.so[+a64966]
0.18%     0.00%   glTexSubImage2D
0.17%     0.00%   [kernel.kallsyms][+ffffffe760bca196]
0.17%     0.17%   [kernel.kallsyms][+ffffffe7611d5040]
0.17%     0.00%   !!!0000!141e50cb152287019aff218176d094!a9ee82cd83!
0.17%     0.00%   !!!0000!9c0715a0352375a9ec27cf88ce6933!a9ee82cd83!
0.17%     0.00%   !!!0000!4ecf3032464df959aad423cba1a73c!a9ee82cd83!
0.17%     0.17%   !!!0000!a0d82c13dd4b4e4f31b6cd30a2cb0d!a9ee82cd83!
0.17%     0.01%   sub_0022A698_0x22a698(unsigned char*, R5900Context*, PS2Runtime*)
0.17%     0.00%   sub_00162458_0x162458(unsigned char*, R5900Context*, PS2Runtime*)
0.17%     0.00%   libvulkan_freedreno.so[+987552]
0.17%     0.00%   [kernel.kallsyms][+ffffffe761a910ea]
0.17%     0.00%   [kernel.kallsyms][+ffffffe760cf8b36]
0.17%     0.00%   !!!0000!94050ffb92ce9d2eb541a2faeb7ea2!a9ee82cd83!
0.17%     0.12%   sub_0032E100_0x32e100(unsigned char*, R5900Context*, PS2Runtime*)
0.17%     0.17%   [kernel.kallsyms][+ffffffe761a8e6e0]
0.17%     0.01%   !!!0000!d0051afa8fb0bb02a68e169738355f!a9ee82cd83!
0.16%     0.00%   libvulkan_freedreno.so[+9b740e]
0.16%     0.16%   VU1Interpreter::decodeUpperUsage(unsigned int) const
0.15%     0.00%   [kernel.kallsyms][+ffffffe760839f76]
0.15%     0.00%   [kernel.kallsyms][+ffffffe76085558a]
0.15%     0.00%   [kernel.kallsyms][+ffffffe760859082]
0.15%     0.03%   scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::allocate(unsigned long, scudo::Chunk::Origin, unsigned long, bool)
0.15%     0.15%   [kernel.kallsyms][+ffffffe761a79580]
0.15%     0.00%   android::AndroidRuntime::javaThreadShell(void*)
0.15%     0.00%   android::IPCThreadState::joinThreadPool(bool)
0.15%     0.00%   android::PoolThread::threadLoop()
0.15%     0.00%   android::Thread::_threadLoop(void*)
0.15%     0.00%   android::IPCThreadState::getAndExecuteCommand()
0.15%     0.00%   sub_0011EB60_0x11eb60(unsigned char*, R5900Context*, PS2Runtime*)
0.15%     0.00%   sub_00121700_0x121700(unsigned char*, R5900Context*, PS2Runtime*)
0.15%     0.00%   scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::releaseToOSMaybe(scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::RegionInfo*, unsigned long, scudo::ReleaseToOS)
0.15%     0.00%   ParallelGS::GSRenderer::flush_transfer()
0.15%     0.15%   __sfvwrite
0.15%     0.01%   sub_002AB6B0_0x2ab6b0(unsigned char*, R5900Context*, PS2Runtime*)
0.15%     0.00%   libvulkan_freedreno.so[+96dc06]
0.14%     0.14%   VU1Interpreter::resetScheduler()
0.14%     0.14%   [kernel.kallsyms][+ffffffe761a7ae44]
0.14%     0.00%   android::IPCThreadState::executeCommand(int)
0.14%     0.14%   void ParallelGS::GSInterface::packed_XYZ<false, true, (ParallelGS::PRIMType)4>(void const*)
0.14%     0.00%   ParallelGS::GSInterface::vsync(ParallelGS::VSyncInfo const&)
0.14%     0.00%   libvulkan_freedreno.so[+9b6c26]
0.14%     0.09%   [linker]do_dl_iterate_phdr(int (*)(dl_phdr_info*, unsigned long, void*), void*)
0.14%     0.01%   sub_0022C078_0x22c078(unsigned char*, R5900Context*, PS2Runtime*)
0.14%     0.00%   ParallelGS::GSRenderer::vsync(ParallelGS::PrivRegisterState const&, ParallelGS::VSyncInfo const&, unsigned int, unsigned int, Vulkan::Image const*, Vulkan::Image const*)
0.14%     0.00%   [kernel.kallsyms][+ffffffe760d107c6]
0.14%     0.01%   sub_003123C0_0x3123c0(unsigned char*, R5900Context*, PS2Runtime*)
