Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g -e cpu-clock --trace-offcpu --duration 20
Arch: arm64
Event: cpu-clock (type 1, config 0)
Samples: 22130
Time in ns: 19969704576

Children  Self    Command     Symbol
0.90%     0.01%   GameThread  sub_0022C620_0x22c620(unsigned char*, R5900Context*, PS2Runtime*)
0.85%     0.17%   GameThread  PS2Memory::writeIORegister(unsigned int, unsigned int)
0.81%     0.00%   GameThread  ps2_syscalls::dispatchNumericSyscall(unsigned int, unsigned char*, R5900Context*, PS2Runtime*)
0.81%     0.00%   GameThread  PS2Runtime::handleSyscall(unsigned char*, R5900Context*, unsigned int)
0.78%     0.21%   GameThread  sub_0038B0F8_0x38b0f8(unsigned char*, R5900Context*, PS2Runtime*)
0.73%     0.01%   GameThread  sub_0022C3B8_0x22c3b8(unsigned char*, R5900Context*, PS2Runtime*)
0.69%     0.68%   GameThread  libunwind::findUnwindSectionsByPhdr(dl_phdr_info*, unsigned long, void*)
0.63%     0.61%   GameThread  VU1Interpreter::execLower(unsigned int, unsigned char*, unsigned int, GS&, PS2Memory*, unsigned int)
0.58%     0.00%   GameThread  sub_003550A0_0x3550a0(unsigned char*, R5900Context*, PS2Runtime*)
0.58%     0.00%   GameThread  libunwind::UnwindCursor<libunwind::LocalAddressSpace, libunwind::Registers_arm64>::setInfoBasedOnIPRegister(bool)
0.58%     0.00%   GameThread  sub_001216E0_0x1216e0(unsigned char*, R5900Context*, PS2Runtime*)
0.57%     0.00%   GameThread  sub_00111408_0x111408(unsigned char*, R5900Context*, PS2Runtime*)
0.55%     0.02%   GameThread  sub_003C85D0_0x3c85d0(unsigned char*, R5900Context*, PS2Runtime*)
0.54%     0.00%   GameThread  sub_003C8968_0x3c8968(unsigned char*, R5900Context*, PS2Runtime*)
0.52%     0.00%   GameThread  sub_00423DE0_0x423de0(unsigned char*, R5900Context*, PS2Runtime*)
0.52%     0.05%   GameThread  PS2Memory::writeIORegister(unsigned int, unsigned int)::$_2::operator()(unsigned int, unsigned int) const
0.51%     0.01%   GameThread  EeScheduler::waitSemaphore(int)
