Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g -e cpu-clock --trace-offcpu --duration 20
Arch: arm64
Event: cpu-clock (type 1, config 0)
Samples: 387188
Time in ns: 68002175599

Children  Self    Command   Symbol
1.33%     1.10%   GsWorker  scudo::HybridMutex::unlock()
1.26%     0.00%   GsWorker  libvulkan_freedreno.so[+c1bddc]
1.24%     0.00%   GsWorker  libvulkan_freedreno.so[+ac64c4]
1.23%     0.00%   GsWorker  libvulkan_freedreno.so[+c60814]
1.20%     0.00%   GsWorker  [kernel.kallsyms][+ffffffe760d98d12]
1.18%     0.00%   GsWorker  libvulkan_freedreno.so[+a96a18]
1.17%     0.00%   GsWorker  libvulkan_freedreno.so[+c17ad0]
1.17%     0.00%   GsWorker  libvulkan_freedreno.so[+c606c4]
1.12%     0.00%   GsWorker  [kernel.kallsyms][+ffffffe761a7d95e]
1.11%     0.00%   GsWorker  [kernel.kallsyms][+ffffffe760a482da]
1.11%     0.00%   GsWorker  [kernel.kallsyms][+ffffffe761a90ece]
1.10%     0.00%   GsWorker  libvulkan_freedreno.so[+c18bfc]
1.10%     0.00%   GsWorker  libvulkan_freedreno.so[+c19204]
1.06%     0.00%   GsWorker  libvulkan_freedreno.so[+c63598]
1.03%     0.00%   GsWorker  libvulkan_freedreno.so[+c63864]
1.01%     0.00%   GsWorker  libvulkan_freedreno.so[+b48a88]
1.01%     0.00%   GsWorker  libvulkan_freedreno.so[+c603cc]
1.01%     0.00%   GsWorker  [kernel.kallsyms][+ffffffe760d98062]
1.00%     0.00%   GsWorker  libvulkan_freedreno.so[+c94fe4]
0.99%     0.00%   GsWorker  [kernel.kallsyms][+ffffffe761a910ea]
0.94%     0.01%   GsWorker  libvulkan_freedreno.so[+b4889c]
0.94%     0.00%   GsWorker  libvulkan_freedreno.so[+a96960]
0.94%     0.00%   GsWorker  libvulkan_freedreno.so[+cb6014]
0.93%     0.01%   GsWorker  libvulkan_freedreno.so[+b6c4d8]
0.90%     0.00%   GsWorker  libvulkan_freedreno.so[+c18fe4]
0.90%     0.00%   GsWorker  libvulkan_freedreno.so[+c19774]
0.90%     0.00%   GsWorker  libvulkan_freedreno.so[+c19070]
0.89%     0.86%   GsWorker  libvulkan_freedreno.so[+b40d34]
0.89%     0.00%   GsWorker  libvulkan_freedreno.so[+a96b80]
0.88%     0.00%   GsWorker  libvulkan_freedreno.so[+add3a0]
0.87%     0.00%   GsWorker  libvulkan_freedreno.so[+c65be0]
0.86%     0.00%   GsWorker  libvulkan_freedreno.so[+ab1498]
0.85%     0.73%   GsWorker  __memcpy_aarch64_nt
