shape	tail_n	J_vs_s0	n257	ov257	pres257	n277	ov277	pres277	n296	ov296	pres296	n301	ov301	pres301	n321	ov321	pres321	n340	ov340	pres340	n342	ov342	pres342	n343	ov343	pres343
95	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
96	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
97	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
98	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
99	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
100	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
101	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
102	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
103	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
104	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
105	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
106	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
107	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
108	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
109	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
110	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
111	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
112	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
113	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
114	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
115	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
116	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
117	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
118	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
119	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
120	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
121	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
122	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
123	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
124	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
125	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
126	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
127	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
128	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
129	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
130	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
131	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
132	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
133	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
134	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
135	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
136	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
137	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
138	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
139	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
140	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
141	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
142	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
143	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
144	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
145	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
146	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
147	102	1.0000	10	10	1	10	10	1	9	9	1	11	11	1	10	10	1	8	8	1	5	5	1	2	2	1
