tick	line	dma	gif	dd	dg
29760	2791952	2669132	72181	0	0
29880	2793972	2669132	72181	0	0
30000	2796006	2669132	72181	0	0
30120	2798037	2669132	72181	0	0
30240	2800168	2669132	72181	0	0
30360	2802279	2669132	72181	0	0
30480	2804366	2669132	72181	0	0
30600	2806328	2669132	72181	0	0
30720	2808423	2669132	72181	0	0
30840	2810440	2669132	72181	0	0
30960	2812565	2669132	72181	0	0
31080	2814468	2669132	72181	0	0
31200	2816656	2669132	72181	0	0
31320	2818678	2669132	72181	0	0
31440	2820837	2669132	72181	0	0
31560	2822900	2669132	72181	0	0
31680	2825414	2669132	72181	0	0
31800	2827327	2669132	72181	0	0
31920	2829363	2669132	72181	0	0
32040	2831270	2669132	72181	0	0
32160	2833406	2669132	72181	0	0
32280	2835531	2669132	72181	0	0
32400	2837660	2669132	72181	0	0
32520	2839618	2669132	72181	0	0
32640	2841688	2669132	72181	0	0
32760	2843742	2669132	72181	0	0
32880	2845776	2669132	72181	0	0
33000	2847824	2669132	72181	0	0
33120	2850039	2669132	72181	0	0
33240	2852028	2669132	72181	0	0
33360	2854205	2669132	72181	0	0
33480	2856304	2669132	72181	0	0
