Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 148317
Event count: 126658118938

Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Shared Object
0.31%     [kernel.kallsyms][+ffffffe760a2784c]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.30%     PS2Memory::processVIF1Data(unsigned char const*, unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.28%     VU1Interpreter::applyFmacDestAcc(float*, unsigned char)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.27%     [kernel.kallsyms][+ffffffe760d2cbf8]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.26%     EeScheduler::accountCycles(unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.25%     VU1Interpreter::applyFmacDest(float*, float*, unsigned char)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.25%     [kernel.kallsyms][+ffffffe760a2168c]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.24%     [kernel.kallsyms][+ffffffe760a277ec]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.23%     GS::buildDrawBatch(int) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.22%     sub_00416810_0x416810(unsigned char*, R5900Context*, PS2Runtime*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.21%     void ParallelGS::GSInterface::drawing_kick_append<false, false, false, 3u>()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.21%     [kernel.kallsyms][+ffffffe761a795a0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.19%     GS::vertexKick(bool)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.19%     GS::writeRegisterPacked(unsigned char, unsigned long, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.19%     VU1Interpreter::applyDest(float*, float const*, unsigned char)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
