Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 601798
Event count: 428955035635

Children  Self   Symbol
1.89%     0.00%  [kernel.kallsyms][+ffffffe761a7d916]
1.89%     0.00%  [kernel.kallsyms][+ffffffe760e1943a]
1.89%     0.00%  [kernel.kallsyms][+ffffffe760a2e3f2]
1.89%     0.00%  [kernel.kallsyms][+ffffffe760e19622]
1.89%     0.00%  [kernel.kallsyms][+ffffffe760af8146]
1.89%     0.00%  [kernel.kallsyms][+ffffffe760dfb2c2]
1.89%     0.00%  [kernel.kallsyms][+ffffffe760e19d26]
1.89%     0.00%  [kernel.kallsyms][+ffffffe760e1d04a]
1.89%     0.00%  [kernel.kallsyms][+ffffffe760e20b2a]
1.89%     0.00%  [kernel.kallsyms][+ffffffe760e23c72]
1.89%     0.00%  [kernel.kallsyms][+ffffffe760d315fa]
1.87%     0.00%  libvulkan_freedreno.so[+c1c244]
1.78%     1.78%  [kernel.kallsyms][+ffffffe761a8e810]
1.75%     0.16%  void scudo::releaseFreeMemoryToOS<scudo::RegionReleaseRecorder<scudo::MemMapLinux>, scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::releaseToOSMaybe(scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::RegionInfo*, unsigned long, scudo::ReleaseToOS)::'lambda'(unsigned long)>(scudo::PageReleaseContext&, scudo::RegionReleaseRecorder<scudo::MemMapLinux>&, scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::releaseToOSMaybe(scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::RegionInfo*, unsigned long, scudo::ReleaseToOS)::'lambda'(unsigned long))
1.71%     1.48%  scudo::HybridMutex::unlock()
1.68%     0.00%  [kernel.kallsyms][+ffffffe761a7d88e]
1.61%     0.03%  scudo::MemMapLinux::releaseAndZeroPagesToOSImpl(unsigned long, unsigned long)
1.60%     0.00%  libvulkan_freedreno.so[+afcc74]
1.58%     0.05%  madvise
1.52%     0.00%  libvulkan_freedreno.so[+c65d00]
1.52%     0.01%  libvulkan_freedreno.so[+c60354]
1.46%     0.00%  libvulkan_freedreno.so[+c1bddc]
1.38%     0.00%  [kernel.kallsyms][+ffffffe761a7d95e]
1.38%     0.00%  [kernel.kallsyms][+ffffffe760a482da]
1.37%     0.00%  [kernel.kallsyms][+ffffffe761a90ece]
1.37%     0.00%  libvulkan_freedreno.so[+c60814]
1.36%     0.00%  [kernel.kallsyms][+ffffffe760d2c77e]
1.34%     0.00%  [kernel.kallsyms][+ffffffe760d98d12]
1.33%     0.00%  libvulkan_freedreno.so[+ac64c4]
1.31%     0.00%  libvulkan_freedreno.so[+c606c4]
1.29%     0.00%  libvulkan_freedreno.so[+a96a18]
1.28%     0.00%  main
1.28%     0.00%  PS2Runtime::run()
1.27%     0.00%  libvulkan_freedreno.so[+c18bfc]
1.26%     0.00%  libvulkan_freedreno.so[+c19204]
1.23%     1.22%  VU1Interpreter::calculatePairReadyCycle(VU1Interpreter::DecodedInstructionPair const&) const
1.23%     0.00%  libvulkan_freedreno.so[+c17ad0]
1.20%     0.00%  libvulkan_freedreno.so[+c63598]
1.19%     0.00%  [kernel.kallsyms][+ffffffe761a910ea]
1.17%     1.17%  [kernel.kallsyms][+ffffffe761a8e860]
1.16%     0.00%  libvulkan_freedreno.so[+c63864]
1.15%     0.00%  libvulkan_freedreno.so[+c94fe4]
1.15%     0.00%  [kernel.kallsyms][+ffffffe760d98062]
1.14%     0.00%  [kernel.kallsyms][+ffffffe760d89482]
1.13%     0.00%  libvulkan_freedreno.so[+c603cc]
1.11%     0.00%  libvulkan_freedreno.so[+b48a88]
1.11%     1.00%  __memcpy_aarch64_nt
1.10%     0.00%  [kernel.kallsyms][+ffffffe760d2ff4a]
1.09%     0.00%  libvulkan_freedreno.so[+cb6014]
1.08%     0.01%  libvulkan_freedreno.so[+b4889c]
1.05%     0.00%  libvulkan_freedreno.so[+a96960]
1.04%     0.00%  libvulkan_freedreno.so[+c19070]
1.04%     0.00%  libvulkan_freedreno.so[+c18fe4]
1.04%     0.00%  [kernel.kallsyms][+ffffffe760d2c52a]
1.03%     1.03%  libvulkan_freedreno.so[+b40d34]
1.03%     0.00%  libvulkan_freedreno.so[+c19774]
1.02%     0.00%  [kernel.kallsyms][+ffffffe761704d6e]
