PVD root_ext=261 root_size=488
lbn=340754 sectors=26432 size=54131200 name=/DATA/CHAR/RWRDPS2.BIG
lbn=367186 sectors=7596 size=15555948 name=/DATA/CHAR/VIGGOTXP.BIG
lbn=374782 sectors=6821 size=13968053 name=/DATA/CHAR/ZOETXP.BIG
lbn=381603 sectors=1274 size=2607920 name=/DATA/SCRIPTS/ANIMDBG.BIG
lbn=382877 sectors=6067 size=12424540 name=/DATA/SCRIPTS/SCDAT.BIG
lbn=388944 sectors=595 size=1218400 name=/DATA/SCRIPTS/SOUNDDBG.BIG
lbn=389539 sectors=848 size=1735700 name=/DATA/UI/MAPGFX.BIG
lbn=390387 sectors=3612 size=7395640 name=/DATA/AUDIO/AUDIO.BIG
lbn=393999 sectors=127616 size=261357032 name=/DATA/AUDIO/SPEECH.BIG
lbn=521615 sectors=116769 size=239141864 name=/DATA/AUDIO/ENGLISH.BIG
lbn=638384 sectors=4 size=7564 name=/DATA/WORLDS/IRR.DAT
lbn=638388 sectors=226883 size=464655872 name=/DATA/AUDIO/MUSIC2.BIG
lbn=865271 sectors=55215 size=113078400 name=/DATA/WORLDS/BAM.BIG
lbn=920486 sectors=212644 size=435494272 name=/DATA/AUDIO/MUSIC.BIG
lbn=1133130 sectors=6645 size=13608948 name=/DATA/MOVIES/ABC1.MPC
lbn=1139775 sectors=6644 size=13605364 name=/DATA/MOVIES/ABC1WS.MPC
lbn=1146419 sectors=7255 size=14857460 name=/DATA/MOVIES/DBC2.MPC
lbn=1153674 sectors=7254 size=14855192 name=/DATA/MOVIES/DBC2WS.MPC
lbn=1160928 sectors=7255 size=14857176 name=/DATA/MOVIES/EBC3.MPC
lbn=1168183 sectors=7255 size=14857752 name=/DATA/MOVIES/EBC3WS.MPC
lbn=1175438 sectors=69982 size=143321576 name=/DATA/MOVIES/MTNALIVE.MPC
lbn=1245420 sectors=19502 size=39939976 name=/DATA/MOVIES/NFLXSELL.MPC
lbn=1264922 sectors=12803 size=26219496 name=/DATA/MOVIES/NFSXSELL.MPC
lbn=1277725 sectors=13972 size=28613560 name=/DATA/MOVIES/ST3XSELL.MPC
lbn=1291697 sectors=1154 size=2362484 name=/DATA/MOVIES/THX.MPC
lbn=1292851 sectors=626 size=1281956 name=/DATA/MOVIES/EABIG.MPC
lbn=1293477 sectors=86998 size=178170376 name=/DATA/MOVIES/INTRO.MPC
lbn=1380475 sectors=86998 size=178170376 name=/DATA/MOVIES/INTRO_DJ.MPC
