[  561.2547] Bios    :  intrman.017: CpuSuspendIntr (1f6388, fffffbff, 0, f6a3070)
[  561.2548] Bios    :  intrman.018: CpuResumeIntr (1, 38b38, 0, f6a3070)
[  561.2548] Bios    :  thevent.007: iSetEventFlag (716717, 2000, 80000000, 469b4)
[  561.2548] Bios    :  intrman.023: QueryIntrContext (716717, 2000, 80000000, 469b4)
[  561.2548] Bios    :  thevent.007: iSetEventFlag (716717, 2000, 80000000, 469b4)
[  561.2548] Bios    :  intrman.023: QueryIntrContext (716717, 2000, 80000000, 469b4)
[  561.2548] Bios    :  thevent.010: WaitEventFlag (716717, 2000, 0, 0)
[  561.2548] Bios    :  intrman.023: QueryIntrContext (716717, 2000, 0, 0)
[  561.2548] Bios    :  intrman.017: CpuSuspendIntr (1f6380, 2000, 0, 0)
[  561.2548] Bios    :  intrman.018: CpuResumeIntr (1, 2000, 38b38, 0)
[  561.2548] Bios    :  thevent.008: ClearEventFlag (716717, ffffdfff, 38b38, 0)
[  561.2548] Bios    :  intrman.023: QueryIntrContext (716717, ffffdfff, 38b38, 0)
[  561.2548] Bios    :  intrman.017: CpuSuspendIntr (1f6388, ffffdfff, 38b38, 0)
[  561.2548] Bios    :  intrman.018: CpuResumeIntr (1, 38b38, 38b38, 0)
[  561.2548] Bios    :  thevent.006: SetEventFlag (716717, 800, 38b38, 0)
[  561.2548] Bios    :  intrman.023: QueryIntrContext (716717, 800, 38b38, 0)
[  561.2548] Bios    :  intrman.017: CpuSuspendIntr (1f6378, 800, 38b38, 0)
[  561.2548] Bios    :  intrman.018: CpuResumeIntr (1, 800, 38b38, 0)
[  561.2548] Bios    :  thevent.010: WaitEventFlag (716717, 1400, 1, 1f63d0)
[  561.2549] Bios    :  intrman.023: QueryIntrContext (716717, 1400, 1, 1f63d0)
[  561.2549] Bios    :  intrman.017: CpuSuspendIntr (1f6380, 1400, 1, 1f63d0)
[  561.2549] Bios    :  thevent.010: WaitEventFlag (716717, 800, 0, 0)
[  561.2549] Bios    :  intrman.023: QueryIntrContext (716717, 800, 0, 0)
[  561.2549] Bios    :  intrman.017: CpuSuspendIntr (1f0a40, 800, 0, 0)
[  561.2549] Bios    :  intrman.018: CpuResumeIntr (1, 800, 38b38, 0)
[  561.2549] Bios    :  thevent.008: ClearEventFlag (716717, fffff7ff, 38b38, 0)
[  561.2549] Bios    :  intrman.023: QueryIntrContext (716717, fffff7ff, 38b38, 0)
[  561.2549] Bios    :  intrman.017: CpuSuspendIntr (1f0a48, fffff7ff, 38b38, 0)
[  561.2549] Bios    :  intrman.018: CpuResumeIntr (1, 38b38, 38b38, 0)
[  561.2549] Bios    :  sio2man.057:  (505c8, 1, 0, 15)
[  561.2549] Bios    :  sio2man.052:  (505d8, 1, 1, 15)
[  561.2549] Bios    :  thevent.006: SetEventFlag (716717, 1000, 1, 15)
[  561.2549] Bios    :  intrman.023: QueryIntrContext (716717, 1000, 1, 15)
[  561.2549] Bios    :  intrman.017: CpuSuspendIntr (1f0a68, 1000, 1, 15)
[  561.2549] Bios    :  thevent.008: ClearEventFlag (716717, ffffefff, 0, f6a378f)
[  561.2549] Bios    :  intrman.023: QueryIntrContext (716717, ffffefff, 0, f6a378f)
[  561.2549] Bios    :  intrman.017: CpuSuspendIntr (1f6388, ffffefff, 0, f6a378f)
[  561.2549] Bios    :  intrman.018: CpuResumeIntr (1, 38b38, 0, f6a378f)
[  561.2549] Bios    :  thevent.010: WaitEventFlag (716717, 4155, 1, 1f63d0)
[  561.2549] Bios    :  intrman.023: QueryIntrContext (716717, 4155, 1, 1f63d0)
[  561.2549] Bios    :  intrman.017: CpuSuspendIntr (1f6380, 4155, 1, 1f63d0)
[  561.2549] Bios    :  thevent.006: SetEventFlag (12f0c19, 4, 0, cb7c54a)
[  561.2549] Bios    :  intrman.023: QueryIntrContext (12f0c19, 4, 0, cb7c54a)
[  561.2549] Bios    :  intrman.017: CpuSuspendIntr (1f0aa0, 4, 0, cb7c54a)
[  561.2550] Bios    :  intrman.018: CpuResumeIntr (1, 97780, 170, e)
[  561.2550] Bios    :  thevent.010: WaitEventFlag (12f0c19, 1001, 1, 1f0ab0)
[  561.2550] Bios    :  intrman.023: QueryIntrContext (12f0c19, 1001, 1, 1f0ab0)
[  561.2550] Bios    :  intrman.017: CpuSuspendIntr (1f0a38, 1001, 1, 1f0ab0)
[  561.2550] Bios    :  thevent.008: ClearEventFlag (12f0c19, fffffffb, 0, f6a3da8)
[  561.2550] Bios    :  intrman.023: QueryIntrContext (12f0c19, fffffffb, 0, f6a3da8)
[  561.2550] Bios    :  intrman.017: CpuSuspendIntr (1f0220, fffffffb, 0, f6a3da8)
[  561.2550] Bios    :  intrman.018: CpuResumeIntr (1, 97860, 0, f6a3da8)
[  561.2550] Bios    :  thevent.006: SetEventFlag (12eea1b, 100, 0, f6a3da8)
[  561.2550] Bios    :  intrman.023: QueryIntrContext (12eea1b, 100, 0, f6a3da8)
[  561.2550] Bios    :  intrman.017: CpuSuspendIntr (1f0280, 100, 0, f6a3da8)
[  561.2550] Bios    :  intrman.018: CpuResumeIntr (1, 97670, 170, e)
[  561.2550] Bios    :  thevent.010: WaitEventFlag (12eea1b, 200, 10, 0)
[  561.2550] Bios    :  intrman.023: QueryIntrContext (12eea1b, 200, 10, 0)
[  561.2550] Bios    :  intrman.017: CpuSuspendIntr (1f0288, 200, 10, 0)
[  561.2550] Bios    :  thevent.008: ClearEventFlag (12eea1b, fffffeff, 0, 137b346c)
[  561.2550] Bios    :  intrman.023: QueryIntrContext (12eea1b, fffffeff, 0, 137b346c)
[  561.2550] Bios    :  intrman.017: CpuSuspendIntr (1ef1b8, fffffeff, 0, 137b346c)
[  561.2550] Bios    :  intrman.018: CpuResumeIntr (1, 97750, 0, 137b346c)
[  561.2551] Bios    :  thevent.006: SetEventFlag (12eea1b, 200, 15, 4f4b8)
[  561.2551] Bios    :  intrman.023: QueryIntrContext (12eea1b, 200, 15, 4f4b8)
[  561.2551] Bios    :  intrman.017: CpuSuspendIntr (1ef218, 200, 15, 4f4b8)
[  561.2551] Bios    :  intrman.018: CpuResumeIntr (1, 97780, 170, e)
[  561.2551] Bios    :  thevent.010: WaitEventFlag (12eea1b, 1001, 1, 1ef250)
[  561.2551] Bios    :  intrman.023: QueryIntrContext (12eea1b, 1001, 1, 1ef250)
[  561.2551] Bios    :  intrman.017: CpuSuspendIntr (1ef1d8, 1001, 1, 1ef250)
[  561.2551] Bios    :  thevent.006: SetEventFlag (12e821d, 100, 0, ae7d7bc)
[  561.2551] Bios    :  intrman.023: QueryIntrContext (12e821d, 100, 0, ae7d7bc)
[  561.2551] Bios    :  intrman.017: CpuSuspendIntr (1f0280, 100, 0, ae7d7bc)
[  561.2551] Bios    :  intrman.018: CpuResumeIntr (1, 97330, 170, e)
[  561.2551] Bios    :  thevent.010: WaitEventFlag (12e821d, 200, 10, 0)
[  561.2551] Bios    :  intrman.023: QueryIntrContext (12e821d, 200, 10, 0)
[  561.2551] Bios    :  intrman.017: CpuSuspendIntr (1f0288, 200, 10, 0)
[  561.2551] Bios    :  thevent.008: ClearEventFlag (12e821d, fffffeff, 0, 137b37ec)
[  561.2551] Bios    :  intrman.023: QueryIntrContext (12e821d, fffffeff, 0, 137b37ec)
[  561.2551] Bios    :  intrman.017: CpuSuspendIntr (1e76c0, fffffeff, 0, 137b37ec)
[  561.2551] Bios    :  intrman.018: CpuResumeIntr (1, 97410, 0, 137b37ec)
[  561.2551] Bios    :  thevent.006: SetEventFlag (12e821d, 200, 0, 137b37ec)
[  561.2551] Bios    :  intrman.023: QueryIntrContext (12e821d, 200, 0, 137b37ec)
[  561.2551] Bios    :  intrman.017: CpuSuspendIntr (1e7720, 200, 0, 137b37ec)
[  561.2551] Bios    :  intrman.018: CpuResumeIntr (1, 97780, 170, e)
[  561.2551] Bios    :  thevent.010: WaitEventFlag (12e821d, 1002, 1, 1e7758)
[  561.2551] Bios    :  intrman.023: QueryIntrContext (12e821d, 1002, 1, 1e7758)
[  561.2551] Bios    :  intrman.017: CpuSuspendIntr (1e76e0, 1002, 1, 1e7758)
[  561.2551] Bios    :   sifman.008: sceSifDmaStat (897c0002, 3, 0, 719cad0)
[  561.2552] Bios    :  intrman.017: CpuSuspendIntr (1f0260, 0, 0, e20)
[  561.2552] Bios    :   sifman.007: sceSifSetDma (4f290, 2, 0, e20)
[  561.2552] SIF     : IOP: dmaSIF0 chcr = 1000701, madr = 61680, bcr = 20, tadr = 1bf3c
[  561.2552] SIF     : SIF0 DMA start...
[  561.2552] SIF     :   SIF + 4 = 4 (pos=56)
[  561.2552] SIF     : SIF0 IOP Tag: madr=4f390, tadr=1bf4c, counter=20 (00000020_0004F390) Junk 0
[  561.2552] SIF     :   SIF - 4 = 0 (pos=56)
[  561.2552] SIF     : SIF0 EE read tag: 10000008 5c0100 8004faa0 20
[  561.2552] SIF     : SIF0 EE dest chain tag madr:005C0100 qwc:0008 id:1 irq:0(005C0100_10000008)
[  561.2552] SIF     : Write IOP to Fifo: +++++++++++ 20 of 20
[  561.2552] SIF     :   SIF + 32 = 32 (pos=88)
[  561.2552] SIF     : Write Fifo to EE: ----------- 20 of 20
[  561.2552] SIF     :   SIF - 32 = 0 (pos=88)
[  561.2552] SIF     :   SIF + 4 = 4 (pos=92)
[  561.2552] SIF     : SIF0 IOP Tag: madr=4faa0, tadr=1bf5c, counter=20 (00000020_8004FAA0) Junk 0
[  561.2552] SIF     :   SIF - 4 = 0 (pos=92)
[  561.2552] SIF     : SIF0 EE read tag: 10000008 5c0300 34d24 200
[  561.2552] SIF     : SIF0 EE dest chain tag madr:005C0300 qwc:0008 id:1 irq:0(005C0300_10000008)
[  561.2552] SIF     : Write IOP to Fifo: +++++++++++ 20 of 20
[  561.2552] SIF     :   SIF + 32 = 32 (pos=124)
[  561.2552] SIF     : Write Fifo to EE: ----------- 20 of 20
[  561.2552] SIF     :   SIF - 32 = 0 (pos=124)
[  561.2552] SIF     : Sif0: End IOP
[  561.2552] Bios    :  intrman.018: CpuResumeIntr (1, bf801528, 1bf3c, 4faa0)
[  561.2552] Bios    :  sio2man.060:  (d34d, bf801528, 1bf3c, 4faa0)
[  561.2552] Bios    :  thevent.006: SetEventFlag (12eea1b, 1, 0, 4faa0)
[  561.2552] Bios    :  intrman.023: QueryIntrContext (12eea1b, 1, 0, 4faa0)
[  561.2552] Bios    :  intrman.017: CpuSuspendIntr (1f0280, 1, 0, 4faa0)
[  561.2552] Bios    :  intrman.018: CpuResumeIntr (1, 97670, 170, e)
[  561.2552] Bios    :  thevent.010: WaitEventFlag (12eea1b, 80, 10, 0)
[  561.2552] Bios    :  intrman.023: QueryIntrContext (12eea1b, 80, 10, 0)
[  561.2552] Bios    :  intrman.017: CpuSuspendIntr (1f0288, 80, 10, 0)
[  561.2553] Bios    :  thevent.008: ClearEventFlag (12eea1b, fffffffe, 0, 137b3b7b)
