block	distinct	logline	w29	w31	s29	s31	dormant
121	222	1262936	289	289	289	290	580
122	222	1272839	289	290	290	289	578
123	222	1282750	298	298	298	298	596
124	222	1292951	285	285	285	285	570
125	222	1302710	283	283	283	283	566
126	222	1312400	279	279	279	279	558
127	222	1321960	301	300	300	300	601
128	222	1332239	288	289	289	289	577
129	222	1342110	270	270	270	270	540
130	222	1351379	278	278	278	278	556
131	222	1360891	298	298	298	298	596
132	222	1371097	287	287	287	287	574
133	222	1380907	301	301	301	301	602
134	222	1391233	301	301	301	301	602
135	222	1401529	300	300	300	300	600
136	222	1411795	294	294	294	294	588
137	222	1421848	283	282	282	283	566
138	222	1431535	274	275	275	274	548
139	222	1440934	285	285	285	285	570
140	222	1450696	292	292	292	292	584
141	222	1460697	279	279	279	279	558
142	222	1470248	267	267	267	267	534
143	222	1479395	275	275	275	275	550
144	222	1488824	287	287	287	287	574
145	222	1498641	277	276	276	276	553
146	222	1508108	274	274	274	274	548
147	222	1517492	282	283	283	283	565
148	222	1527176	278	278	278	278	556
149	222	1536698	282	282	282	282	564
150	222	1546348	287	287	287	287	574
151	222	1556179	292	292	292	292	584
152	222	1566163	295	295	295	295	590
153	222	1576272	289	288	288	288	577
154	222	1586147	263	264	264	264	527
155	222	1595169	288	288	288	288	576
156	222	1605043	285	284	284	285	570
157	222	1614782	287	288	288	287	574
158	222	1624623	284	284	284	284	568
159	222	1634339	277	277	277	277	554
160	222	1643838	279	279	279	279	558
161	222	1653398	291	291	291	291	582
162	222	1663357	265	265	265	265	530
163	222	1672440	252	252	252	252	504
164	222	1681061	202	201	201	201	403
165	222	1687991	230	231	231	231	461
166	222	1695888	206	206	206	206	412
167	222	1702973	231	231	231	231	462
168	222	1710901	230	230	230	230	460
169	222	1718776	238	238	238	238	476
170	222	1726937	219	219	219	219	438
171	222	1734463	199	199	199	199	398
172	222	1741298	201	201	201	201	402
173	222	1748189	235	235	235	235	470
174	222	1756248	197	197	197	197	394
175	222	1763031	230	230	230	230	460
176	222	1770917	289	289	289	289	578
177	222	1780812	287	287	287	287	574
178	222	1790644	280	280	280	280	560
179	222	1800227	294	294	294	294	588
180	222	1810302	289	289	289	289	578
181	222	1820187	298	298	298	298	596
182	222	1830389	300	300	300	300	600
183	222	1840658	302	302	302	302	604
184	222	1850994	285	285	285	285	570
185	222	1860744	302	302	302	302	604
186	222	1871085	289	289	289	289	578
187	222	1880975	291	291	291	291	582
188	222	1890954	284	284	284	284	568
189	222	1900665	296	296	296	296	592
190	222	1910796	280	279	280	280	560
191	222	1920382	289	290	289	289	578
192	222	1930301	274	274	274	274	548
193	222	1939677	276	276	276	276	552
194	222	1949130	277	277	277	277	554
195	222	1958617	279	279	279	279	558
196	222	1968184	276	276	276	276	552
197	222	1977615	283	283	283	283	566
198	222	1987306	291	291	291	291	582
199	222	1997275	286	286	286	286	572
200	222	2007078	294	294	294	294	588
201	222	2017140	286	286	286	286	572
202	222	2026922	261	261	261	261	522
203	222	2035881	239	239	239	239	478
204	222	2044075	186	186	186	186	372
205	222	2050464	331	331	331	331	662
206	222	2061776	410	410	410	410	820
207	222	2075798	554	553	553	553	1107
208	222	2094682	576	577	577	577	1153
209	222	2114358	631	631	631	631	1262
210	222	2135880	611	611	611	611	1222
211	222	2156724	612	612	612	612	1224
212	222	2177598	588	588	588	588	1176
213	222	2197651	574	574	574	574	1148
214	222	2217230	582	581	581	581	1162
215	222	2237076	615	615	615	615	1231
216	222	2258055	298	298	298	298	625
217	222	2268288	301	301	301	301	630
218	222	2278621	300	301	301	301	638
219	222	2288940	303	302	302	302	645
220	222	2299341	300	300	300	300	640
221	222	2309651	303	304	304	304	630
222	222	2320057	297	296	296	296	620
223	222	2330240	303	304	304	304	639
224	222	2340672	298	298	298	298	628
225	222	2350900	302	301	301	301	643
226	222	2361255	303	304	304	304	645
227	222	2371674	300	299	299	299	635
228	222	2381970	302	302	302	302	647
229	222	2392350	301	302	302	302	638
230	222	2402705	300	299	299	299	635
231	222	2412993	300	300	300	300	642
232	222	2423304	301	302	302	302	641
233	222	2433671	300	299	299	299	630
234	222	2443697	296	297	297	297	617
235	218	2453403	304	303	303	304	610
236	211	2463459	302	302	302	301	607
237	211	2473456	301	301	301	301	603
238	211	2480949	304	304	304	304	612
239	189	2487366	117	298	118	298	600
240	189	2490772	0	303	0	303	609
241	13	2492322	0	297	0	297	599
