[  458.0182] Bios    :  intrman.017: CpuSuspendIntr (1ef1d8, 1001, 1, 1ef250)
[  458.0182] Bios    :  thevent.006: SetEventFlag (12e821d, 100, 0, 924573c)
[  458.0182] Bios    :  intrman.023: QueryIntrContext (12e821d, 100, 0, 924573c)
[  458.0182] Bios    :  intrman.017: CpuSuspendIntr (1f0280, 100, 0, 924573c)
[  458.0182] Bios    :  intrman.018: CpuResumeIntr (1, 97330, 170, e)
[  458.0182] Bios    :  thevent.010: WaitEventFlag (12e821d, 200, 10, 0)
[  458.0182] Bios    :  intrman.023: QueryIntrContext (12e821d, 200, 10, 0)
[  458.0182] Bios    :  intrman.017: CpuSuspendIntr (1f0288, 200, 10, 0)
[  458.0183] Bios    :  thevent.008: ClearEventFlag (12e821d, fffffeff, 0, 105f266d)
[  458.0183] Bios    :  intrman.023: QueryIntrContext (12e821d, fffffeff, 0, 105f266d)
[  458.0183] Bios    :  intrman.017: CpuSuspendIntr (1e76c0, fffffeff, 0, 105f266d)
[  458.0183] Bios    :  intrman.018: CpuResumeIntr (1, 97410, 0, 105f266d)
[  458.0183] Bios    :  thevent.006: SetEventFlag (12e821d, 200, 0, 105f266d)
[  458.0183] Bios    :  intrman.023: QueryIntrContext (12e821d, 200, 0, 105f266d)
[  458.0183] Bios    :  intrman.017: CpuSuspendIntr (1e7720, 200, 0, 105f266d)
[  458.0183] Bios    :  intrman.018: CpuResumeIntr (1, 97780, 170, e)
[  458.0183] Bios    :  thevent.010: WaitEventFlag (12e821d, 1002, 1, 1e7758)
[  458.0183] Bios    :  intrman.023: QueryIntrContext (12e821d, 1002, 1, 1e7758)
[  458.0183] Bios    :  intrman.017: CpuSuspendIntr (1e76e0, 1002, 1, 1e7758)
[  458.0184] Bios    :   sifman.008: sceSifDmaStat (15200002, 3, 0, 5f79750)
[  458.0184] Bios    :  intrman.017: CpuSuspendIntr (1f0260, 0, 0, e20)
[  458.0184] Bios    :   sifman.007: sceSifSetDma (4f290, 2, 0, e20)
[  458.0184] SIF     : IOP: dmaSIF0 chcr = 1000701, madr = 61680, bcr = 20, tadr = 1bf3c
[  458.0184] SIF     : SIF0 DMA start...
[  458.0184] SIF     :   SIF + 4 = 4 (pos=20)
[  458.0184] SIF     : SIF0 IOP Tag: madr=4f390, tadr=1bf4c, counter=20 (00000020_0004F390) Junk 0
[  458.0184] SIF     :   SIF - 4 = 0 (pos=20)
[  458.0184] SIF     : SIF0 EE read tag: 10000008 5c0100 8004faa0 20
[  458.0184] SIF     : SIF0 EE dest chain tag madr:005C0100 qwc:0008 id:1 irq:0(005C0100_10000008)
[  458.0184] SIF     : Write IOP to Fifo: +++++++++++ 20 of 20
[  458.0184] SIF     :   SIF + 32 = 32 (pos=52)
[  458.0184] SIF     : Write Fifo to EE: ----------- 20 of 20
[  458.0184] SIF     :   SIF - 32 = 0 (pos=52)
[  458.0184] SIF     :   SIF + 4 = 4 (pos=56)
[  458.0184] SIF     : SIF0 IOP Tag: madr=4faa0, tadr=1bf5c, counter=20 (00000020_8004FAA0) Junk 0
[  458.0184] SIF     :   SIF - 4 = 0 (pos=56)
[  458.0184] SIF     : SIF0 EE read tag: 10000008 5c0300 34d24 200
[  458.0184] SIF     : SIF0 EE dest chain tag madr:005C0300 qwc:0008 id:1 irq:0(005C0300_10000008)
[  458.0184] SIF     : Write IOP to Fifo: +++++++++++ 20 of 20
[  458.0184] SIF     :   SIF + 32 = 32 (pos=88)
[  458.0184] SIF     : Write Fifo to EE: ----------- 20 of 20
[  458.0184] SIF     :   SIF - 32 = 0 (pos=88)
[  458.0184] SIF     : Sif0: End IOP
[  458.0184] Bios    :  intrman.018: CpuResumeIntr (1, bf801528, 1bf3c, 4faa0)
