A: 164 vq samples armed=True  (/Users/brad/dev/ssx3-work/GB3-run/boot-gb3c-1.log)
B: 165 vq samples armed=True  (/Users/brad/dev/ssx3-work/GB3-run/boot-gb3d-1.log)
matched ticks: 164 (gate 26, extra 138)

| tick | vram A/B | regs A/B | pres A/B | sub A/B | priv A/B | pw×ph A/B | verdict |
| 2700 | 42279b49/2ff6d3b5 | ac96dc5e/ac96dc5e | 443a6990/b8ee34f7 | 392352/392106 | 15952/15942 | 512x448/512x448 | MISMATCH (extra) |
| 2750 | 1c7e4b6e/53cc44e6 | fc959504/fc959504 | 5be21d53/505ea040 | 399602/399356 | 16252/16242 | 512x448/512x448 | MISMATCH (extra) |
| 2800 | e97d5f4/2a8d1cec | b23fa3a/b23fa3a | 837f4f56/8046ff8d | 406852/406606 | 16552/16542 | 512x448/512x448 | MISMATCH (extra) |
| 2850 | 4827be84/2392c485 | 5575e00b/5575e00b | d22a847c/17ae5ceb | 414102/413856 | 16852/16842 | 512x448/512x448 | MISMATCH (extra) |
| 2900 | 9006a6ce/2bb9af3e | 44ff2501/44ff2501 | 3d63363d/e7cc7b0a | 421308/421062 | 17152/17142 | 512x448/512x448 | MISMATCH (extra) |
| 2950 | 9ae022bb/ada4b43e | 75f8bd67/75f8bd67 | 2ef2283f/7ad4aa11 | 428508/428262 | 17452/17442 | 512x448/512x448 | MISMATCH (extra) |
| 3000 | f4258047/8c0bfe71 | a38c42dd/a38c42dd | b5769d3d/830ca74f | 435708/435462 | 17752/17742 | 512x448/512x448 | MISMATCH (extra) |
| 3050 | 744235b2/aa78fd1a | d770bcf3/d770bcf3 | 4a34a7f9/f1edee32 | 442908/442662 | 18052/18042 | 512x448/512x448 | MISMATCH (extra) |
| 3100 | b225f476/c6415460 | e33d3104/e33d3104 | 636fdced/9ea3d135 | 450108/449862 | 18352/18342 | 512x448/512x448 | MISMATCH (extra) |
| 3150 | 790db9f5/81544a34 | 937c10fe/937c10fe | b78eb751/b1d33b56 | 457308/457062 | 18652/18642 | 512x448/512x448 | MISMATCH (extra) |
| 3200 | 966544af/871f8a1e | 214fbdc8/214fbdc8 | 282cf4e1/730ec258 | 464508/464262 | 18952/18942 | 512x448/512x448 | MISMATCH (extra) |
| 3250 | af6bf75a/d7e7d4 | f093be02/f093be02 | 74d3ed31/47dfe069 | 471708/471462 | 19252/19242 | 512x448/512x448 | MISMATCH (extra) |
| 3300 | a38af086/48cf0f0c | 7e676acc/7e676acc | 3a4e65b3/256ceae6 | 478908/478662 | 19552/19542 | 512x448/512x448 | MISMATCH (extra) |
| 3350 | 26d05cdd/498b4fdb | 2be459a1/2be459a1 | b5c05656/a06be614 | 486260/486014 | 19852/19842 | 512x448/512x448 | MISMATCH (extra) |
| 3400 | 1500f82c/60688dc6 | b9b8066b/b9b8066b | edbb0ec9/ae237690 | 492660/492414 | 20152/20142 | 512x448/512x448 | MISMATCH (extra) |
| 3450 | 78d5729c/76c1df10 | 8ed1ca05/8ed1ca05 | ccb3472e/dc67040b | 499060/498814 | 20452/20442 | 512x448/512x448 | MISMATCH (extra) |
| 3500 | 87bc7823/481eb689 | 1ca576cf/1ca576cf | 60f4214b/b76a67a1 | 505460/505214 | 20752/20742 | 512x448/512x448 | MISMATCH (extra) |
| 3550 | 71ca49a4/ab4b1930 | addf3689/addf3689 | f6d6489c/761f8166 | 511860/511614 | 21052/21042 | 512x448/512x448 | MISMATCH (extra) |
| 3600 | 63cdefe/643775f0 | 57f6126e/57f6126e | 82dc98eb/7636cb53 | 518260/518014 | 21352/21342 | 512x448/512x448 | MISMATCH (extra) |
| 3650 | f134b2df/8986ed35 | 877a39fc/877a39fc | 5f198b65/521da4c | 524660/524414 | 21652/21642 | 512x448/512x448 | MISMATCH (extra) |
| 3700 | bf96e3dc/1013b04c | b50dbf72/b50dbf72 | 4d7b8cf7/3501d772 | 531060/530814 | 21952/21942 | 512x448/512x448 | MISMATCH (extra) |
| 3750 | 586fd219/37b6aaea | e491e700/e491e700 | dc8e10e2/92be6c99 | 537460/537214 | 22252/22242 | 512x448/512x448 | MISMATCH (extra) |
| 3800 | a107ee93/ab810dc4 | d41b2bf6/d41b2bf6 | ecf37d44/72fd7eaa | 543860/543614 | 22552/22542 | 512x448/512x448 | MISMATCH (extra) |
| 3850 | a8fb3780/36770b6d | 25b845ff/25b845ff | b3cf1200/2ba57bea | 550260/550014 | 22852/22842 | 512x448/512x448 | MISMATCH (extra) |
| 3900 | aacf89ce/ff52c474 | 534bcb75/534bcb75 | 61d35e5e/8d76017e | 556672/556426 | 23152/23142 | 512x448/512x448 | MISMATCH (extra) |
| 4100 | 86e9ff65/40869659 | cf99d588/b4c593e0 | b68d9535/a9ea2eee | 586483/598192 | 24217/24215 | 512x448/512x448 | MISMATCH (extra) |
| 4150 | 91e84cc3/52584d89 | 9a7d833a/8b54c852 | 5108084b/e1f1b91e | 589600/615789 | 24477/24470 | 512x448/512x448 | MISMATCH (extra) |
| 4200 | ced1c1fa/eee40d4c | 28513004/991e3a4c | 615bd277/643fcfb7 | 592791/632969 | 24732/24730 | 512x448/512x448 | MISMATCH (extra) |
| 4250 | bd258de9/b15bc9ea | bb006096/f398edbe | c8068f5f/5d3b6349 | 595983/650566 | 24992/24985 | 512x448/512x448 | MISMATCH (extra) |
| 4300 | 6a4de38c/56fc538c | 48d40d60/bf76db08 | 5ca6da58/c043bfc3 | 599175/667746 | 25252/25245 | 512x448/512x448 | MISMATCH (extra) |
| 4350 | b23c64a2/25e6bde5 | 1f6341d2/8a5a88ba | 30def5ae/58673cc8 | 602292/685343 | 25512/25500 | 512x448/512x448 | MISMATCH (extra) |
| 4400 | d21772d8/6a3b240c | c97a1db7/b47b9f6f | 72773482/f72de36b | 605483/702523 | 25767/25760 | 512x448/512x448 | MISMATCH (extra) |
| 4450 | 4b80f6dd/107084dd | 7558ab29/a43a30c1 | 84874a7a/bab93eef | 608675/720120 | 26027/26015 | 512x448/512x448 | MISMATCH (extra) |
| 4500 | f8686c03/281f143b | e42737b3/d4fe7ccb | 9c53dd86/30389d80 | 611867/737300 | 26287/26275 | 512x448/512x448 | MISMATCH (extra) |
| 4550 | 4b9edb79/b045e206 | 9bb14be5/bee74abd | 4ae8fbc8/aede0318 | 615059/754897 | 26547/26530 | 512x448/512x448 | MISMATCH (extra) |
| 4600 | de95f90b/18119a6b | 488a18ef/b9572337 | 8fddc687/d4820d18 | 618176/772077 | 26807/26790 | 512x448/512x448 | MISMATCH (extra) |
| 4650 | f46fa953/98c449ec | 95c6e070/c2b3e6d8 | cbeeb7b7/1352ad1c | 621367/789674 | 27062/27045 | 512x448/512x448 | MISMATCH (extra) |
| 4700 | 52bbdc54/77fd8be6 | 85502566/f0476c4e | efe39287/7a42f351 | 624559/806854 | 27322/27305 | 512x448/512x448 | MISMATCH (extra) |
| 4750 | 554f49c3/8cde3ba9 | b073fa6c/e90c8794 | 9a0587e0/f816fd7c | 627751/824451 | 27582/27560 | 512x448/512x448 | MISMATCH (extra) |
| 4800 | e22d4870/eac48bea | bf025fa2/e80e21da | 13b0be88/a8bd3af1 | 630868/841631 | 27842/27820 | 512x448/512x448 | MISMATCH (extra) |
| 4900 | 7b198ca2/bca292d4 | 3fa86ff9/24d42e51 | 12d14676/5869c2a3 | 637251/876408 | 28357/28335 | 512x448/512x448 | MISMATCH (extra) |
| 4950 | 8e3df74a/aad09d12 | 4bc724bf/7aa8aa57 | 4a307836/3e39d32e | 640443/894005 | 28617/28590 | 512x448/512x448 | MISMATCH (extra) |
| 5000 | 58635f8b/99f5ecfa | 5a5589f5/8d1853bd | 19641647/f58cb898 | 643635/911603 | 28877/28850 | 512x448/512x448 | MISMATCH (extra) |
| 5050 | bf9303c1/b713c449 | aa54429b/e2eccfc3 | f4d4b175/3928760 | 646752/928782 | 29137/29105 | 512x448/512x448 | MISMATCH (extra) |
| 5100 | 129c0940/4f692f18 | b8e2a7d1/2f857579 | e8346463/d076785f | 649943/946380 | 29392/29365 | 512x448/512x448 | MISMATCH (extra) |
| 5150 | 699f08d/4bdd4fa6 | 6c355a06/9922606e | abde37f/10d6269c | 653135/963559 | 29652/29620 | 512x448/512x448 | MISMATCH (extra) |
| 5200 | 9ef2572/463b7e57 | fa0906d0/2314c908 | c47bd828/8bbb198a | 656327/981157 | 29912/29880 | 512x448/512x448 | MISMATCH (extra) |
| 5250 | 43e67548/826ef675 | a75d051a/98344a32 | 89720e48/db50966a | 659444/998336 | 30172/30135 | 512x448/512x448 | MISMATCH (extra) |
| 5300 | b973ff2c/c06a3d93 | 5435d224/450d173c | 24de538d/40e8c650 | 662635/1015516 | 30427/30395 | 512x448/512x448 | MISMATCH (extra) |
| 5350 | 7631eddf/988fe8d4 | a4a757e/2d807456 | 9eb1b66f/60a3f662 | 665827/1033113 | 30687/30650 | 512x448/512x448 | MISMATCH (extra) |
| 5400 | dbfd1d1e/8f6127c9 | 955c3123/c81efaeb | 960c5f6d/42b9b02d | 669019/1050711 | 30947/30910 | 512x448/512x448 | MISMATCH (extra) |
| 5450 | 6701c001/61cfd5db | 4885f2cd/b37d39b5 | 2b9526d6/7fa27881 | 672211/1067890 | 31207/31165 | 512x448/512x448 | MISMATCH (extra) |
| 5500 | 7bfc1125/d943acd5 | f55ebfd7/605606bf | 58f5d211/2d644b7c | 675327/1085488 | 31462/31425 | 512x448/512x448 | MISMATCH (extra) |
| 5550 | 1f375857/7716e869 | 9fc7dc71/d8606999 | 2c323a76/d7d978b6 | 678519/1102667 | 31722/31680 | 512x448/512x448 | MISMATCH (extra) |
| 5600 | f684ec21/42e85108 | 2d9b893b/56a74b73 | a7b0a5/cc8872d5 | 681711/1120265 | 31982/31940 | 512x448/512x448 | MISMATCH (extra) |
| 5650 | 3d137866/620a0524 | 631e64b4/484a230c | 3fede69d/b215f95f | 684903/1137444 | 32242/32195 | 512x448/512x448 | MISMATCH (extra) |
| 5700 | f700367d/597d98a0 | 71acc9ea/94e2c8c2 | 5c7f6137/bf6993a3 | 688019/1155042 | 32497/32455 | 512x448/512x448 | MISMATCH (extra) |
| 5750 | 3c11a168/d0dd2b9e | ba604e58/e941d3f0 | 9b0ad367/bd7897e9 | 691211/1172221 | 32757/32710 | 512x448/512x448 | MISMATCH (extra) |
| 5800 | c1ebb986/10950531 | c8eeb38e/fbb17d56 | 600a4c6a/994d26b5 | 694403/1189819 | 33017/32970 | 512x448/512x448 | MISMATCH (extra) |
| 5850 | 81d6a9bf/435d8861 | dc589c8c/52fb6a34 | 1d82b300/a73a73f9 | 697595/1206998 | 33277/33225 | 512x448/512x448 | MISMATCH (extra) |
| 5900 | ebb5749b/bb265d35 | 72a30dd/3fc2be05 | aca5018c/e1b2fc8d | 700787/1224596 | 33537/33485 | 512x448/512x448 | MISMATCH (extra) |
| 5950 | 898d9dd0/59240345 | 5b893c0b/88764273 | 9c553e8a/df3d508d | 703903/1241775 | 33792/33740 | 512x448/512x448 | MISMATCH (extra) |
| 6000 | 4a01e5ed/db8bfdb | 6a17a141/93236379 | 2c1ce502/6ed6ed97 | 707095/1259373 | 34052/34000 | 512x448/512x448 | MISMATCH (extra) |
| 6050 | 8ab4bcfb/df3d297d | 96b0e71f/87882c37 | 81fff10/b230d89e | 710287/1276552 | 34312/34255 | 512x448/512x448 | MISMATCH (extra) |
| 6100 | 509f38e9/2953898a | 863a2c15/b51bb1ad | b69d9bb4/1467236c | 713479/1294150 | 34572/34515 | 512x448/512x448 | MISMATCH (extra) |
| 6150 | 9c685bee/bddda41b | 571c8db2/3f332dba | bab3a96d/448404d5 | 716595/1311329 | 34827/34770 | 512x448/512x448 | MISMATCH (extra) |
| 6200 | e09f9adb/bce40697 | 3f55abc/39a30634 | 3aebaf9a/2334d4db | 719787/1328927 | 35087/35030 | 512x448/512x448 | MISMATCH (extra) |
| 6250 | 98004b08/7a71034 | b8948d3e/20a0f276 | cbeab525/402cd45c | 722979/1346106 | 35347/35285 | 512x448/512x448 | MISMATCH (extra) |
| 6300 | ceba5cf6/e8981056 | 276319c8/51653e80 | 7b9357a1/19e5307d | 726171/1363704 | 35607/35545 | 512x448/512x448 | MISMATCH (extra) |
| 6350 | bef106d2/2514d17f | d341a73a/46f99332 | f2a888b2/d2fdf9e3 | 729288/1380883 | 35867/35800 | 512x448/512x448 | MISMATCH (extra) |
| 6400 | 4b7e5c6e/863bdb78 | 7d58831f/656f2327 | 62c6a592/91221c38 | 732479/1398481 | 36122/36060 | 512x448/512x448 | MISMATCH (extra) |
| 6450 | 3df85fd4/3b9af431 | 50fcd5e1/391375e9 | ac2f715a/d89d1497 | 735671/1415660 | 36382/36315 | 512x448/512x448 | MISMATCH (extra) |
| 6500 | a3f3e51e/93caef5e | ded082ab/4f16333 | 4bdd477b/141b5daf | 738863/1433258 | 36642/36575 | 512x448/512x448 | MISMATCH (extra) |
| 6550 | 643ba904/dd834174 | 6ba9efdd/5f6c16a5 | 5dc1ccec/5c1d8315 | 741980/1450437 | 36902/36830 | 512x448/512x448 | MISMATCH (extra) |
| 6600 | 762bfafd/b35370e4 | f97d9ca7/6d35889f | 85706f85/e8d7f4eb | 745171/1468035 | 37157/37090 | 512x448/512x448 | MISMATCH (extra) |
| 6650 | 47061adf/7414b831 | cd21ef69/40d9db61 | 76023427/b4314a27 | 748363/1485214 | 37417/37345 | 512x448/512x448 | MISMATCH (extra) |
| 6700 | 53968ba7/117aef3d | 7738cb4e/ace676c6 | 49d990b2/a1b0c3d7 | 751555/1502812 | 37677/37605 | 512x448/512x448 | MISMATCH (extra) |
| 6750 | cc95db0a/4c8517fb | 8f0306d4/f70f6c0c | 4f723f83/9b98e030 | 754747/1519992 | 37937/37865 | 512x448/512x448 | MISMATCH (extra) |
| 6800 | 6b8b11cb/5157a632 | 9d916c0a/85a80c12 | 6706b013/51a07556 | 757864/1537589 | 38197/38120 | 512x448/512x448 | MISMATCH (extra) |
| 6850 | 20ba4c59/91b547cd | c5ca5f60/f796c6a8 | 1ec45c40/12157bbe | 761055/1554769 | 38452/38380 | 512x448/512x448 | MISMATCH (extra) |
| 6900 | 94eb9533/cfb084d4 | f35de4d6/252a4c1e | 8fba0c4d/354d5685 | 764247/1572366 | 38712/38635 | 512x448/512x448 | MISMATCH (extra) |
| 6950 | d286a24c/cf6b439d | 46706fb7/2e870fbf | 9df8b105/b4e52571 | 767439/1589545 | 38972/38890 | 512x448/512x448 | MISMATCH (extra) |
| 7000 | 4c787fd1/d6d0b98f | 35f9b4ad/a9b1a0a5 | e67b57a1/4a8da063 | 770556/1607143 | 39232/39150 | 512x448/512x448 | MISMATCH (extra) |
| 7050 | 9ed1188c/5a292ff2 | 69de2ec3/93e0537b | 5805ac20/7a231ec6 | 773747/1624322 | 39487/39405 | 512x448/512x448 | MISMATCH (extra) |
| 7100 | 7696309/b0f33b66 | c173d8f1/c173d8f1 | ddf40d3b/f1dcd370 | 780802/1642811 | 39763/39665 | 512x448/512x448 | MISMATCH (extra) |
| 7150 | 5f3dee32/d7cdb4c9 | 364d7537/364d7537 | 27d442b7/c1ec7277 | 806990/1690240 | 40018/39915 | 512x448/512x448 | MISMATCH (extra) |
| 7200 | bd0a10fb/5260e133 | d4084cc0/d4084cc0 | a6d4c638/7679ea62 | 833487/1739426 | 40273/40165 | 512x448/512x448 | MISMATCH (extra) |
| 7250 | 325e49e2/4e91f6b3 | adb340fa/a922105a | a50c5621/89264376 | 853156/1778101 | 40656/40415 | 512x448/512x448 | MISMATCH (extra) |
| 7300 | 72702a4e/fb11f532 | f8eb7ca4/f8eb7ca4 | 63c98e75/bedade7a | 879807/1821621 | 40959/40670 | 512x448/512x448 | MISMATCH (extra) |
| 7350 | 5a50a5ba/cfa3f8a8 | ce05403e/ce05403e | 4a4624e5/f47ffdea | 909415/1870486 | 41214/40920 | 512x448/512x448 | MISMATCH (extra) |
| 7400 | b8ded3c5/b9bb4ec0 | dbceb238/dbceb238 | 35b8229f/158645f2 | 940188/1920905 | 41469/41165 | 512x448/512x448 | MISMATCH (extra) |
| 7450 | a20d5a79/cb7d86b3 | 511723ed/511723ed | baa55034/167fc646 | 972096/1971642 | 41724/41420 | 512x448/512x448 | MISMATCH (extra) |
| 7500 | c3a9aed0/670c15df | 1cf51137/1cf51137 | 5f7c4cd8/c5a0202d | 997546/2020114 | 42052/41670 | 512x448/512x448 | MISMATCH (extra) |
| 7550 | 9e79d4cb/97cf0733 | e6634e11/e6634e11 | 67cd8e74/16dc1392 | 1022471/2055192 | 42411/41920 | 512x448/512x448 | MISMATCH (extra) |
| 7600 | b345278e/67644559 | f44135ab/55e1c70b | 90fcf704/ee6f8a0f | 1054555/2092766 | 42661/42322 | 512x448/512x448 | MISMATCH (extra) |
| 7650 | 41ecdbf/4cf22df0 | 4a00aae5/4a00aae5 | edc03e3c/eb149398 | 1074956/2134144 | 43021/42732 | 512x448/512x448 | MISMATCH (extra) |
| 7700 | 85d6d0c0/98576bea | 356794aa/39f8c54a | 3362040b/fb6d09f2 | 1101264/2176920 | 43348/43142 | 512x448/512x448 | MISMATCH (extra) |
| 7750 | 89cee8a5/3f6be257 | 9d203958/a1b169f8 | d517b38a/a82fe1a6 | 1132383/2217927 | 43603/43552 | 512x448/512x448 | MISMATCH (extra) |
| 7800 | 93f205e3/cb456d3 | fdd6da9e/fdd6da9e | b6057c58/f249f11 | 1150647/2271436 | 43990/43953 | 512x448/512x448 | MISMATCH (extra) |
| 7850 | e1854f5f/a52f05bf | 3eeedec/658f7f4c | 2cedea58/9203b229 | 1176505/2312830 | 44257/44363 | 512x448/512x448 | MISMATCH (extra) |
| 7900 | 53ef1d39/2a42bfe | 31827362/b2282502 | 1b97017a/d625b159 | 1201414/2352515 | 44512/44782 | 512x448/512x448 | MISMATCH (extra) |
| 7950 | ddec0a6/ff6bb356 | 45154ceb/49a67d8b | 9cc0377b/5d2fc0be | 1217632/2393983 | 44767/45192 | 512x448/512x448 | MISMATCH (extra) |
| 8000 | dcb42b8b/6a94bd9d | 4416e731/48a817d1 | ee11eb74/3eece291 | 1240038/2435419 | 45022/45602 | 512x448/512x448 | MISMATCH (extra) |
| 8050 | e331fd7d/a4b09e59 | 9875f25f/7e0202bf | c8621ebe/9a48dc8f | 1258845/2476353 | 45277/46012 | 512x448/512x448 | MISMATCH (extra) |
| 8100 | e8397867/5261be35 | 68fa1715/ca9aa875 | e382a647/1b5196a0 | 1273817/2529714 | 45532/46413 | 512x448/512x448 | MISMATCH (extra) |
| 8150 | c89253a5/3f5176f1 | bd592243/3dfed3e3 | 70de6cff/24363e75 | 1294135/2570854 | 45787/46823 | 512x448/512x448 | MISMATCH (extra) |
