A: 123 vq samples armed=True  (/Users/brad/dev/ssx3-work/GB3-run/boot-gb3b-1.log)
B: 164 vq samples armed=True  (/Users/brad/dev/ssx3-work/GB3-run/boot-gb3c-1.log)
matched ticks: 122 (gate 26, extra 96)

| tick | vram A/B | regs A/B | pres A/B | sub A/B | priv A/B | pw×ph A/B | verdict |
| 1900 | a1b01a70/382f1ab3 | 7a92826d/7a92826d | 708b03cd/143eaf8d | 277173/277296 | 11147/11152 | 512x448/512x448 | MISMATCH (extra) |
| 1950 | 7c62cf4c/c548e24b | 8b1189bb/8b1189bb | d3d5e5d3/f59988e9 | 284323/284446 | 11447/11452 | 512x448/512x448 | MISMATCH (extra) |
| 2000 | b4047b5e/f791f164 | 999feef1/999feef1 | 18ff565/874a0af9 | 291473/291596 | 11747/11752 | 512x448/512x448 | MISMATCH (extra) |
| 2050 | dfc259e0/ea07ed7d | 6621fe06/6621fe06 | 33c478a5/8be97018 | 298623/298746 | 12047/12052 | 512x448/512x448 | MISMATCH (extra) |
| 2100 | 6320b98f/9142b29d | 12facb10/12facb10 | 3db43ae5/55a7d522 | 305773/305896 | 12347/12352 | 512x448/512x448 | MISMATCH (extra) |
| 2150 | 6c6c6f24/4b7a5e86 | c4af1be2/c4af1be2 | ce08eef2/caf0d5b7 | 312923/313046 | 12647/12652 | 512x448/512x448 | MISMATCH (extra) |
| 2200 | 420e5bb8/7019b248 | 337da86c/337da86c | 48aba888/609ac2ea | 320073/320196 | 12947/12952 | 512x448/512x448 | MISMATCH (extra) |
| 2250 | e5b789a4/9c061427 | e81cdaee/e81cdaee | 5e40bb91/7e3d0d6a | 327223/327346 | 13247/13252 | 512x448/512x448 | MISMATCH (extra) |
| 2300 | 74a733b5/f40ace9d | 94f5a7f8/94f5a7f8 | 5218e9b4/1b2731a8 | 334373/334496 | 13547/13552 | 512x448/512x448 | MISMATCH (extra) |
| 2350 | f6e4802c/5d26296d | 62ed27e5/62ed27e5 | 18d8d896/a2e26624 | 341523/341646 | 13847/13852 | 512x448/512x448 | MISMATCH (extra) |
| 2400 | 34b4414c/fb8c73e6 | f0c0d4af/f0c0d4af | 4aa2b08d/e8941572 | 348729/348852 | 14147/14152 | 512x448/512x448 | MISMATCH (extra) |
| 2450 | dddafa3f/bcfe73f | 80852391/80852391 | 5ced129a/3ce86e2d | 355979/356102 | 14447/14452 | 512x448/512x448 | MISMATCH (extra) |
| 2500 | 469bae4/b77f6e85 | e58d05b/e58d05b | 6a1c052a/956e127a | 363229/363352 | 14747/14752 | 512x448/512x448 | MISMATCH (extra) |
| 2550 | 2455a17e/6ae22178 | df12416d/df12416d | b1727e3d/136c5674 | 370479/370602 | 15047/15052 | 512x448/512x448 | MISMATCH (extra) |
| 2600 | 30b45695/a7ada301 | 89291d52/89291d52 | b4c84210/da5c2d5d | 377729/377852 | 15347/15352 | 512x448/512x448 | MISMATCH (extra) |
| 2650 | 856ca563/30c92c76 | 9e087728/9e087728 | 4a99f24b/beab446b | 384979/385102 | 15647/15652 | 512x448/512x448 | MISMATCH (extra) |
| 2700 | f3452c14/42279b49 | ac96dc5e/ac96dc5e | a20f009c/443a6990 | 392229/392352 | 15947/15952 | 512x448/512x448 | MISMATCH (extra) |
| 2750 | 9d434cca/1c7e4b6e | fc959504/fc959504 | 19f118e5/5be21d53 | 399479/399602 | 16247/16252 | 512x448/512x448 | MISMATCH (extra) |
| 2800 | 39ebe4ae/e97d5f4 | b23fa3a/b23fa3a | 11ad7039/837f4f56 | 406729/406852 | 16547/16552 | 512x448/512x448 | MISMATCH (extra) |
| 2850 | 927521f4/4827be84 | 5575e00b/5575e00b | 88401a53/d22a847c | 413979/414102 | 16847/16852 | 512x448/512x448 | MISMATCH (extra) |
| 2900 | f094b7e2/9006a6ce | 44ff2501/44ff2501 | 562aed5e/3d63363d | 421185/421308 | 17147/17152 | 512x448/512x448 | MISMATCH (extra) |
| 2950 | e6c88525/9ae022bb | 75f8bd67/75f8bd67 | f4cb79bd/2ef2283f | 428385/428508 | 17447/17452 | 512x448/512x448 | MISMATCH (extra) |
| 3000 | da0831e1/f4258047 | a38c42dd/a38c42dd | 5c6bd581/b5769d3d | 435585/435708 | 17747/17752 | 512x448/512x448 | MISMATCH (extra) |
| 3050 | 21068e7a/744235b2 | d770bcf3/d770bcf3 | 3ed9dd28/4a34a7f9 | 442785/442908 | 18047/18052 | 512x448/512x448 | MISMATCH (extra) |
| 3100 | 1d622c91/b225f476 | e33d3104/e33d3104 | b18c03fa/636fdced | 449985/450108 | 18347/18352 | 512x448/512x448 | MISMATCH (extra) |
| 3150 | 21ad5b71/790db9f5 | 937c10fe/937c10fe | 7e543067/b78eb751 | 457185/457308 | 18647/18652 | 512x448/512x448 | MISMATCH (extra) |
| 3200 | 4ebf68ac/966544af | 214fbdc8/214fbdc8 | a5a18361/282cf4e1 | 464385/464508 | 18947/18952 | 512x448/512x448 | MISMATCH (extra) |
| 3250 | 301b3abe/af6bf75a | f093be02/f093be02 | 4de441e6/74d3ed31 | 471585/471708 | 19247/19252 | 512x448/512x448 | MISMATCH (extra) |
| 3300 | d432263f/a38af086 | 7e676acc/7e676acc | 141c2c7e/3a4e65b3 | 478785/478908 | 19547/19552 | 512x448/512x448 | MISMATCH (extra) |
| 3350 | dc993c26/26d05cdd | 2be459a1/2be459a1 | f5b1a93f/b5c05656 | 486137/486260 | 19847/19852 | 512x448/512x448 | MISMATCH (extra) |
| 3400 | 1cba5bc1/1500f82c | b9b8066b/b9b8066b | 988db1aa/edbb0ec9 | 492537/492660 | 20147/20152 | 512x448/512x448 | MISMATCH (extra) |
| 3450 | 211bc9a9/78d5729c | 8ed1ca05/8ed1ca05 | 8733698b/ccb3472e | 498937/499060 | 20447/20452 | 512x448/512x448 | MISMATCH (extra) |
| 3500 | c31e45cc/87bc7823 | 1ca576cf/1ca576cf | b1b877b4/60f4214b | 505337/505460 | 20747/20752 | 512x448/512x448 | MISMATCH (extra) |
| 3550 | 5449a131/71ca49a4 | addf3689/addf3689 | 50bb6d46/f6d6489c | 511737/511860 | 21047/21052 | 512x448/512x448 | MISMATCH (extra) |
| 3600 | 3713dccf/63cdefe | 57f6126e/57f6126e | 687996c3/82dc98eb | 518137/518260 | 21347/21352 | 512x448/512x448 | MISMATCH (extra) |
| 3650 | 73d14f26/f134b2df | 877a39fc/877a39fc | d8f3c557/5f198b65 | 524537/524660 | 21647/21652 | 512x448/512x448 | MISMATCH (extra) |
| 3700 | 471e735f/bf96e3dc | b50dbf72/b50dbf72 | 2e478013/4d7b8cf7 | 530937/531060 | 21947/21952 | 512x448/512x448 | MISMATCH (extra) |
| 3750 | 4553a05e/586fd219 | e491e700/e491e700 | d6960cd0/dc8e10e2 | 537337/537460 | 22247/22252 | 512x448/512x448 | MISMATCH (extra) |
| 3800 | 3d18f0ae/a107ee93 | d41b2bf6/d41b2bf6 | 54228141/ecf37d44 | 543737/543860 | 22547/22552 | 512x448/512x448 | MISMATCH (extra) |
| 3850 | e6435284/a8fb3780 | 25b845ff/25b845ff | 855fe01a/b3cf1200 | 550137/550260 | 22847/22852 | 512x448/512x448 | MISMATCH (extra) |
| 3900 | 7cffccd5/aacf89ce | 534bcb75/534bcb75 | 3d9952c2/61d35e5e | 556549/556672 | 23147/23152 | 512x448/512x448 | MISMATCH (extra) |
| 3950 | 79a27dca/1758ea64 | 82cff303/82cff303 | f746867a/cc2c814b | 565163/565286 | 23442/23447 | 512x448/512x448 | MISMATCH (extra) |
| 4000 | 33d2779e/ca2080ac | 915e5839/915e5839 | b2d62761/96974dba | 575243/575366 | 23742/23747 | 512x448/512x448 | MISMATCH (extra) |
| 4100 | 61a57d54/86e9ff65 | b956c480/cf99d588 | 48bd2ace/b68d9535 | 619596/586483 | 24347/24217 | 512x448/512x448 | MISMATCH (extra) |
| 4150 | c0c6585f/91e84cc3 | 70e0d8b2/9a7d833a | 88b1dd4c/5108084b | 660396/589600 | 24757/24477 | 512x448/512x448 | MISMATCH (extra) |
| 4200 | d9564764/ced1c1fa | 7eaa4aac/28513004 | 864b1ce/615bd277 | 702216/592791 | 25176/24732 | 512x448/512x448 | MISMATCH (extra) |
| 4250 | 9cdd1124/bd258de9 | 743e9f5e/bb006096 | ee7fea2f/c8068f5f | 743016/595983 | 25586/24992 | 512x448/512x448 | MISMATCH (extra) |
| 4300 | 4b727d57/6a4de38c | 401c8ca8/48d40d60 | a9bc6d47/5ca6da58 | 784836/599175 | 26005/25252 | 512x448/512x448 | MISMATCH (extra) |
| 4350 | e7c740e5/b23c64a2 | 8a5a88ba/1f6341d2 | ec45e68c/30def5ae | 825637/602292 | 26420/25512 | 512x448/512x448 | MISMATCH (extra) |
| 4400 | d9ca287b/d21772d8 | 9a07afcf/c97a1db7 | 5fa77de1/72773482 | 867456/605483 | 26834/25767 | 512x448/512x448 | MISMATCH (extra) |
| 4450 | cba6545c/4b80f6dd | 89c64121/7558ab29 | 843da461/84874a7a | 909276/608675 | 27253/26027 | 512x448/512x448 | MISMATCH (extra) |
| 4500 | 108e0913/f8686c03 | 55a42e6b/e42737b3 | 307fd506/9c53dd86 | 950076/611867 | 27663/26287 | 512x448/512x448 | MISMATCH (extra) |
| 4550 | d896c4b5/4b9edb79 | 3f8cfc5d/9bb14be5 | 870549fa/4ae8fbc8 | 991896/615059 | 28082/26547 | 512x448/512x448 | MISMATCH (extra) |
| 4600 | 121a2878/de95f90b | b9572337/488a18ef | 420e9f39/8fddc687 | 1032697/618176 | 28497/26807 | 512x448/512x448 | MISMATCH (extra) |
| 4650 | 56dd2f92/f46fa953 | a83ff738/95c6e070 | fe5631fb/cbeeb7b7 | 1074516/621367 | 28911/27062 | 512x448/512x448 | MISMATCH (extra) |
| 4700 | dbbf0cc2/52bbdc54 | f4d89cee/85502566 | 6f7771fc/efe39287 | 1116336/624559 | 29330/27322 | 512x448/512x448 | MISMATCH (extra) |
| 4750 | 18ab083b/554f49c3 | 69b23934/b073fa6c | 227cb25f/9a0587e0 | 1157136/627751 | 29740/27582 | 512x448/512x448 | MISMATCH (extra) |
| 4800 | f273f633/e22d4870 | 68b3d37a/bf025fa2 | 93879ae2/13b0be88 | 1198956/630868 | 30159/27842 | 512x448/512x448 | MISMATCH (extra) |
| 4900 | 4d1b44f6/7b198ca2 | a603eb1/3fa86ff9 | 2fe62bd1/12d14676 | 1281576/637251 | 30988/28357 | 512x448/512x448 | MISMATCH (extra) |
| 4950 | 28b57afc/8e3df74a | 7f39daf7/4bc724bf | c365cd05/4a307836 | 1323396/640443 | 31407/28617 | 512x448/512x448 | MISMATCH (extra) |
| 5000 | 46febae1/58635f8b | dbe055d/5a5589f5 | d5d2ebf9/19641647 | 1364196/643635 | 31817/28877 | 512x448/512x448 | MISMATCH (extra) |
| 5050 | 72af953f/bf9303c1 | 448d6123/aa54429b | 51a570fa/f4d4b175 | 1406016/646752 | 32236/29137 | 512x448/512x448 | MISMATCH (extra) |
| 5100 | e7e30e5/129c0940 | 2f857579/b8e2a7d1 | 2d750a48/e8346463 | 1446817/649943 | 32651/29392 | 512x448/512x448 | MISMATCH (extra) |
| 5150 | e0863e77/699f08d | 9db3910e/6c355a06 | 7c831ba0/abde37f | 1488636/653135 | 33065/29652 | 512x448/512x448 | MISMATCH (extra) |
| 5200 | e9df6d30/9ef2572 | 2314c908/fa0906d0 | a15fd681/c47bd828 | 1529437/656327 | 33480/29912 | 512x448/512x448 | MISMATCH (extra) |
| 5250 | f03c8ff6/43e67548 | 18d9fbd2/a75d051a | 3b6b7efd/89720e48 | 1571256/659444 | 33894/30172 | 512x448/512x448 | MISMATCH (extra) |
| 5300 | 9c8e54c3/b973ff2c | a6ada89c/5435d224 | f56b6ac9/24de538d | 1613076/662635 | 34313/30427 | 512x448/512x448 | MISMATCH (extra) |
| 5350 | f14a37cf/7631eddf | 8f2105b6/a4a757e | d5f6f573/9eb1b66f | 1653876/665827 | 34723/30687 | 512x448/512x448 | MISMATCH (extra) |
| 5400 | d1073dde/dbfd1d1e | ccb02b8b/955c3123 | abbd7856/960c5f6d | 1695696/669019 | 35142/30947 | 512x448/512x448 | MISMATCH (extra) |
| 5450 | 6bc0cdb2/6701c001 | b37d39b5/4885f2cd | 7430b197/2b9526d6 | 1736497/672211 | 35557/31207 | 512x448/512x448 | MISMATCH (extra) |
| 5500 | bf31f701/7bfc1125 | 45e2171f/f55ebfd7 | d5905705/58f5d211 | 1778316/675327 | 35971/31462 | 512x448/512x448 | MISMATCH (extra) |
| 5550 | a3c6fb64/1f375857 | 3a00faf9/9fc7dc71 | 5d5741eb/2c323a76 | 1820136/678519 | 36390/31722 | 512x448/512x448 | MISMATCH (extra) |
| 5600 | 3237009c/f684ec21 | b847dcd3/2d9b893b | af79adfc/a7b0a5 | 1860936/681711 | 36800/31982 | 512x448/512x448 | MISMATCH (extra) |
| 5650 | a026321/3d137866 | 4cdb53ac/631e64b4 | fe67da91/3fede69d | 1902756/684903 | 37219/32242 | 512x448/512x448 | MISMATCH (extra) |
| 5700 | 43f8cb93/f700367d | 9973f962/71acc9ea | 1f8a1fe/5c7f6137 | 1943556/688019 | 37629/32497 | 512x448/512x448 | MISMATCH (extra) |
| 5750 | 9b668c1a/3c11a168 | cecde450/ba604e58 | 7f6bca5b/9b0ad367 | 1985376/691211 | 38048/32757 | 512x448/512x448 | MISMATCH (extra) |
| 5800 | 98703dca/c1ebb986 | 5d520eb6/c8eeb38e | 30fd9900/600a4c6a | 2027196/694403 | 38467/33017 | 512x448/512x448 | MISMATCH (extra) |
| 5850 | 35afc478/81d6a9bf | d3a11bd4/dc589c8c | 29f88752/1d82b300 | 2067996/697595 | 38877/33277 | 512x448/512x448 | MISMATCH (extra) |
| 5900 | e1731bef/ebb5749b | 4453eea5/72a30dd | 128fb3ef/aca5018c | 2109816/700787 | 39296/33537 | 512x448/512x448 | MISMATCH (extra) |
| 5950 | 3911d107/898d9dd0 | 88764273/5b893c0b | 132c46da/9c553e8a | 2150617/703903 | 39711/33792 | 512x448/512x448 | MISMATCH (extra) |
| 6000 | 46002067/4a01e5ed | 78af73d9/6a17a141 | b1d571c/2c1ce502 | 2192436/707095 | 40125/34052 | 512x448/512x448 | MISMATCH (extra) |
| 6050 | a813f6de/8ab4bcfb | 87882c37/96b0e71f | 531ff107/81fff10 | 2233237/710287 | 40540/34312 | 512x448/512x448 | MISMATCH (extra) |
| 6100 | 5380cb88/509f38e9 | 35c1634d/863a2c15 | 8eb855c5/b69d9bb4 | 2275056/713479 | 40954/34572 | 512x448/512x448 | MISMATCH (extra) |
| 6150 | 81804f67/9c685bee | 43c45e5a/571c8db2 | 83ea8f77/bab3a96d | 2316876/716595 | 41373/34827 | 512x448/512x448 | MISMATCH (extra) |
| 6200 | f6e81d84/e09f9adb | 1f2f1694/3f55abc | e75dcb54/3aebaf9a | 2357676/719787 | 41783/35087 | 512x448/512x448 | MISMATCH (extra) |

gate: 0/26 match on ['vram', 'regs']; extra: 1/96; present-hash mismatches (all matched ticks): 119/122
FIRST MISMATCH tick 100

pk rows A=1974507 B=1962960 compared=1962960: first diff idx 0: A=('40', '3af1a56c', '128', '3') B=('39', '3af1a56c', '128', '3')
csr rows A=25493 B=37040 compared=25493: first diff idx 0: A=('40', '4000', '375d10', '12001000') B=('39', '6000', '375d10', '12001000')
