A: 123 vq samples armed=True  (/Users/brad/dev/ssx3-work/GB3-run/boot-gb3b-1.log)
B: 165 vq samples armed=True  (/Users/brad/dev/ssx3-work/GB3-run/boot-gb3d-1.log)
matched ticks: 123 (gate 26, extra 97)

| tick | vram A/B | regs A/B | pres A/B | sub A/B | priv A/B | pw×ph A/B | verdict |
| 2650 | 856ca563/ae88b067 | 9e087728/9e087728 | 4a99f24b/ccb504cf | 384979/384856 | 15647/15642 | 512x448/512x448 | MISMATCH (extra) |
| 2700 | f3452c14/2ff6d3b5 | ac96dc5e/ac96dc5e | a20f009c/b8ee34f7 | 392229/392106 | 15947/15942 | 512x448/512x448 | MISMATCH (extra) |
| 2750 | 9d434cca/53cc44e6 | fc959504/fc959504 | 19f118e5/505ea040 | 399479/399356 | 16247/16242 | 512x448/512x448 | MISMATCH (extra) |
| 2800 | 39ebe4ae/2a8d1cec | b23fa3a/b23fa3a | 11ad7039/8046ff8d | 406729/406606 | 16547/16542 | 512x448/512x448 | MISMATCH (extra) |
| 2850 | 927521f4/2392c485 | 5575e00b/5575e00b | 88401a53/17ae5ceb | 413979/413856 | 16847/16842 | 512x448/512x448 | MISMATCH (extra) |
| 2900 | f094b7e2/2bb9af3e | 44ff2501/44ff2501 | 562aed5e/e7cc7b0a | 421185/421062 | 17147/17142 | 512x448/512x448 | MISMATCH (extra) |
| 2950 | e6c88525/ada4b43e | 75f8bd67/75f8bd67 | f4cb79bd/7ad4aa11 | 428385/428262 | 17447/17442 | 512x448/512x448 | MISMATCH (extra) |
| 3000 | da0831e1/8c0bfe71 | a38c42dd/a38c42dd | 5c6bd581/830ca74f | 435585/435462 | 17747/17742 | 512x448/512x448 | MISMATCH (extra) |
| 3050 | 21068e7a/aa78fd1a | d770bcf3/d770bcf3 | 3ed9dd28/f1edee32 | 442785/442662 | 18047/18042 | 512x448/512x448 | MISMATCH (extra) |
| 3100 | 1d622c91/c6415460 | e33d3104/e33d3104 | b18c03fa/9ea3d135 | 449985/449862 | 18347/18342 | 512x448/512x448 | MISMATCH (extra) |
