A: 165 vq samples armed=True  (/Users/brad/dev/ssx3-work/GB3-run/boot-gb3a-1.log)
B: 123 vq samples armed=True  (/Users/brad/dev/ssx3-work/GB3-run/boot-gb3b-1.log)
matched ticks: 123 (gate 26, extra 97)

| tick | vram A/B | regs A/B | pres A/B | sub A/B | priv A/B | pw×ph A/B | verdict |
| 5850 | fe318362/35afc478 | 43d0c169/d3a11bd4 | cc85a041/29f88752 | 697109/2067996 | 33271/38877 | 512x448/512x448 | MISMATCH (extra) |
| 5900 | 13e9e8ea/e1731bef | 74263804/4453eea5 | f553630c/128fb3ef | 700301/2109816 | 33531/39296 | 512x448/512x448 | MISMATCH (extra) |
| 5950 | fba0390/3911d107 | c59a6182/88764273 | f5d83f5d/132c46da | 703417/2150617 | 33786/39711 | 512x448/512x448 | MISMATCH (extra) |
| 6000 | 54d9cb97/46002067 | c786dd78/78af73d9 | e30ba272/b1d571c | 706609/2192436 | 34046/40125 | 512x448/512x448 | MISMATCH (extra) |
| 6050 | c3e11cb1/a813f6de | 38002736/87882c37 | 94d16b3/531ff107 | 709801/2233237 | 34306/40540 | 512x448/512x448 | MISMATCH (extra) |
| 6100 | 7597cc2d/5380cb88 | 6593acac/35c1634d | a64ab093/8eb855c5 | 712993/2275056 | 34566/40954 | 512x448/512x448 | MISMATCH (extra) |
| 6150 | b5f052eb/81804f67 | 3d6f616b/43c45e5a | 7cb634b7/83ea8f77 | 716109/2316876 | 34821/41373 | 512x448/512x448 | MISMATCH (extra) |
| 6200 | 576c9ece/f6e81d84 | 2f1e94d5/1f2f1694 | 5a788be6/e75dcb54 | 719301/2357676 | 35081/41783 | 512x448/512x448 | MISMATCH (extra) |

gate: 26/26 match on ['vram', 'pres']; extra: 54/97; present-hash mismatches (all matched ticks): 43/123
FIRST MISMATCH tick 4100

pk rows A=1959328 B=1974507 compared=1959328: first diff idx 582753: A=('4056', 'b76b1f5f', '80', '2') B=('4056', '871cc09d', '96', '2')
csr rows A=40672 B=25493 compared=25493: first diff idx 15952: A=('4057', '6008', '382aa0', '12001000') B=('4057', '6008', '2ec6a0', '12001000')
