tick	packet	path	batch	cand	kind	dst_xy	dst_addr	old	new	src_uv	taps	tap_state	blend	state	test	classification
600	47176	2	22	-	batch-c1	-	-	-	-	-	-	-	-	rect=(248,377)-(248,377) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	23	-	batch-c1	-	-	-	-	-	-	-	-	rect=(251,378)-(251,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	24	-	batch-c1	-	-	-	-	-	-	-	-	rect=(254,381)-(261,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	25	-	batch-c1	-	-	-	-	-	-	-	-	rect=(263,381)-(269,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	26	-	batch-c1	-	-	-	-	-	-	-	-	rect=(271,387)-(272,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	27	-	batch-c1	-	-	-	-	-	-	-	-	rect=(274,377)-(274,377) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	28	-	batch-c1	-	-	-	-	-	-	-	-	rect=(277,378)-(285,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	29	-	batch-c1	-	-	-	-	-	-	-	-	rect=(287,378)-(288,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	30	-	batch-c1	-	-	-	-	-	-	-	-	rect=(290,378)-(291,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	31	-	batch-c1	-	-	-	-	-	-	-	-	rect=(293,377)-(293,377) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
