block	distinct	logline	w29	w31	s29	s31	dormant
74	222	798967	299	300	300	300	620
75	222	809241	300	299	299	299	618
76	222	819510	302	302	302	302	626
77	222	829868	299	300	300	300	627
78	222	840157	300	299	299	299	632
79	222	850433	300	301	301	301	630
80	222	860742	303	302	302	302	640
81	222	871137	300	301	301	301	629
82	222	881459	298	298	298	298	640
83	222	891702	303	302	302	302	638
84	222	902093	300	300	300	300	639
85	222	912404	300	300	300	300	636
86	222	922711	303	303	303	303	636
87	222	933115	301	301	301	301	629
88	222	943447	302	302	302	302	633
89	222	953815	300	301	301	301	622
90	222	964120	300	300	300	300	633
91	222	974407	300	300	300	300	633
92	222	984727	300	299	299	300	638
93	222	995013	302	303	303	302	635
94	222	1005386	297	297	297	297	627
95	222	1015600	302	301	301	301	632
96	222	1025948	300	300	300	300	640
97	222	1036254	300	300	300	300	632
98	222	1046558	302	303	303	303	652
99	222	1056947	300	300	300	300	634
100	222	1067254	301	300	300	300	631
101	222	1077578	304	304	304	304	639
102	222	1088014	303	303	303	303	646
103	222	1098428	300	300	300	300	633
104	222	1108730	300	300	300	300	640
105	222	1119033	302	303	303	303	629
106	222	1129410	301	300	300	300	631
107	222	1139734	302	302	302	302	636
108	222	1150103	300	301	301	301	641
109	222	1160438	303	302	302	302	642
110	222	1170823	299	299	299	299	626
111	222	1181088	302	303	303	303	635
112	222	1191461	300	300	300	300	638
113	222	1201764	299	299	299	299	638
114	222	1212037	302	301	301	301	636
115	222	1222406	301	302	302	302	638
116	222	1232753	300	299	299	299	638
117	222	1243052	303	304	304	304	642
118	222	1253430	298	297	297	297	632
119	222	1263696	302	302	302	302	644
120	222	1274073	303	304	304	304	646
121	222	1284460	300	299	299	299	635
122	222	1294790	302	302	302	302	640
123	222	1305166	300	300	300	300	629
124	222	1315464	301	302	302	302	647
125	222	1325837	299	298	298	298	628
126	222	1336078	303	303	303	303	645
127	222	1346488	301	301	301	301	638
128	222	1356828	302	302	302	302	638
129	222	1367199	300	300	300	300	633
130	222	1377502	301	302	302	302	644
131	222	1387867	302	301	301	301	637
132	222	1398217	303	303	303	303	643
133	222	1408625	299	300	300	300	639
134	222	1418918	302	301	301	301	636
135	222	1429270	300	301	301	301	638
136	222	1439603	301	300	300	300	639
137	222	1449920	299	300	300	300	631
138	222	1460213	301	300	300	300	636
139	222	1470528	299	300	300	300	629
140	222	1480796	303	302	302	302	640
141	222	1491200	299	299	299	299	625
142	222	1501465	303	304	304	304	633
143	222	1511876	298	297	297	297	622
144	222	1522090	302	303	303	303	644
145	222	1532440	300	299	299	299	627
146	222	1542763	303	303	303	303	627
147	222	1553157	299	300	300	300	616
148	222	1563383	301	300	300	300	622
149	222	1573735	302	303	303	303	624
150	222	1584116	298	297	297	297	611
151	222	1594309	302	303	303	303	626
152	222	1604653	299	298	298	298	615
153	222	1614920	302	302	302	302	623
154	222	1625278	302	303	303	303	613
155	222	1635596	299	298	298	298	604
156	222	1645867	301	301	301	301	619
157	222	1656188	301	301	301	301	623
158	222	1666514	302	302	302	302	625
159	222	1676875	301	301	301	301	618
160	222	1687196	303	303	303	303	623
161	222	1697586	299	299	299	299	610
162	222	1707836	302	302	302	302	617
163	222	1718188	303	303	303	303	618
164	222	1728572	302	303	303	303	620
165	222	1738950	299	298	298	298	613
166	222	1749176	302	302	302	302	635
167	222	1759544	303	303	303	303	638
168	222	1769950	300	300	300	300	631
169	222	1780250	300	300	300	300	639
170	222	1790558	300	301	301	301	640
171	222	1800888	303	302	302	302	634
172	222	1811266	303	303	303	303	643
173	222	1821675	298	298	298	298	633
174	222	1831915	302	302	302	302	639
175	222	1842290	301	301	301	301	645
176	222	1852636	302	302	302	302	644
177	222	1863016	301	301	301	301	638
178	222	1873357	301	302	302	302	639
179	222	1883722	298	297	297	297	634
180	222	1893937	303	303	303	303	642
181	222	1904346	300	300	300	300	640
182	222	1914658	302	302	302	302	635
183	222	1925026	300	300	300	300	629
184	222	1935327	301	301	301	301	638
185	222	1945668	300	300	300	300	632
186	222	1955970	303	303	303	303	641
187	222	1966378	302	302	302	302	638
188	222	1976749	303	303	303	303	640
189	222	1987157	299	300	300	300	628
190	222	1997447	302	302	302	302	639
191	222	2007798	298	297	297	297	629
192	222	2018030	302	303	303	303	642
193	222	2028426	299	298	298	298	633
194	222	2038675	301	302	302	302	638
195	222	2049014	299	298	298	298	636
196	222	2059289	302	302	302	302	641
197	222	2069663	303	303	303	303	650
198	222	2080079	303	304	304	304	646
199	222	2090503	299	298	298	298	630
200	222	2100757	300	300	300	300	631
201	222	2111057	301	301	301	301	635
202	222	2121394	301	301	301	301	639
203	222	2131734	301	301	301	301	632
204	222	2142068	303	304	304	304	630
205	222	2152464	297	297	297	297	615
206	222	2162633	301	300	300	300	625
207	222	2172941	302	303	303	303	630
208	222	2183321	297	296	296	296	628
209	222	2193532	302	303	303	303	640
210	222	2203885	301	300	300	300	638
211	222	2214253	302	302	302	302	641
212	222	2224627	302	302	302	302	637
213	222	2235000	302	302	302	302	633
214	222	2245368	300	301	301	301	640
215	222	2255694	299	298	298	298	637
216	222	2265951	301	302	302	302	641
217	222	2276296	301	301	301	301	635
218	222	2286642	301	301	301	301	645
219	222	2296977	297	297	297	297	624
220	222	2307184	303	302	302	303	643
221	222	2317578	297	298	298	297	630
222	222	2327802	303	303	303	303	647
223	222	2338183	298	298	298	298	632
224	222	2348416	302	302	302	302	645
225	222	2358804	298	298	298	298	628
226	222	2369027	300	299	299	299	633
227	222	2379309	303	303	303	303	648
228	222	2389722	301	301	301	301	638
229	222	2400061	299	300	300	300	631
230	222	2410356	303	302	302	302	650
231	222	2420745	303	303	303	303	644
232	222	2431155	303	304	304	304	648
233	222	2441577	297	296	296	296	628
234	222	2451308	300	300	300	300	609
235	218	2461202	304	304	304	304	609
236	211	2471270	300	300	300	300	602
237	211	2481024	305	305	305	305	614
238	189	2487498	302	302	302	302	605
239	189	2493878	5	296	6	296	596
240	189	2495479	0	305	0	305	616
241	13	2497041	0	301	0	301	608
242	13	2498565	0	305	0	305	618
243	13	2500113	0	304	0	304	614
244	13	2501649	0	301	0	301	610
245	13	2503174	0	306	0	306	615
246	13	2504721	0	303	0	303	611
247	13	2506252	0	301	0	301	604
248	13	2507770	0	301	0	301	611
249	13	2509303	0	302	0	302	611
250	13	2510832	0	303	0	303	612
251	13	2512363	0	303	0	303	615
252	13	2513904	0	301	0	301	607
253	13	2515427	0	302	0	302	606
254	13	2516950	0	305	0	305	616
255	13	2518496	0	302	0	302	605
256	13	2520019	0	302	0	302	607
257	13	2521544	0	299	0	299	607
258	13	2523062	0	304	0	304	616
259	13	2524600	0	307	0	307	619
260	13	2526153	0	302	0	302	605
261	13	2527681	0	303	0	303	610
262	13	2529211	0	303	0	303	616
263	13	2530746	0	304	0	304	612
264	13	2532286	0	303	0	303	609
265	13	2533815	0	304	0	304	613
266	13	2535355	0	297	0	297	595
267	13	2536852	0	303	0	303	612
268	13	2538390	0	298	0	299	600
269	13	2539891	0	304	0	303	611
270	13	2541432	0	301	0	301	607
271	13	2542955	0	306	0	306	617
272	13	2544504	0	304	0	304	609
273	13	2546034	0	298	0	298	598
274	13	2547542	0	305	0	305	618
275	13	2549090	0	301	0	301	608
276	13	2550613	0	306	0	306	615
277	13	2552160	0	301	0	301	609
278	13	2553685	0	302	0	302	610
279	13	2555212	0	304	0	304	617
280	13	2556758	0	300	0	300	602
281	13	2558269	0	299	0	299	604
282	13	2559785	0	300	0	300	609
283	13	2561307	0	300	0	300	602
284	13	2562823	0	304	0	304	613
285	13	2564364	0	303	0	303	609
286	13	2565892	0	304	0	304	610
287	13	2567430	0	302	0	302	607
288	13	2568955	0	300	0	300	606
289	13	2570474	0	300	0	300	608
290	13	2571996	0	305	0	305	614
291	13	2573534	0	300	0	300	603
292	13	2575050	0	302	0	302	609
293	13	2576584	0	301	0	301	607
294	13	2578107	0	300	0	300	603
295	13	2579623	0	304	0	304	613
296	13	2581158	0	304	0	304	612
297	13	2582698	0	301	0	301	607
298	13	2584220	0	301	0	301	605
299	13	2585741	0	301	0	301	606
300	13	2587263	0	305	0	305	615
301	13	2588808	0	306	0	306	616
302	13	2590350	0	304	0	304	611
303	13	2591889	0	299	0	299	602
304	13	2593403	0	303	0	303	610
305	13	2594932	0	302	0	302	607
306	13	2596456	0	302	0	302	610
307	13	2597990	0	303	0	303	610
308	13	2599520	0	307	0	307	623
309	13	2601076	0	301	0	301	605
310	13	2602597	0	300	0	300	608
311	13	2604119	0	301	0	301	611
312	13	2605643	0	300	0	300	604
313	13	2607161	0	296	0	296	597
314	13	2608656	0	303	0	303	612
315	13	2610194	0	307	0	307	618
316	13	2611746	0	297	0	297	601
317	13	2613249	0	307	0	307	619
318	13	2614801	0	303	0	303	608
319	13	2616335	0	305	0	305	613
320	13	2617872	0	297	0	297	599
321	13	2619378	0	304	0	304	610
322	13	2620910	0	305	0	305	617
323	13	2622457	0	299	0	299	606
324	13	2623974	0	303	0	303	609
325	13	2625503	0	305	0	305	613
326	13	2627046	0	305	0	305	614
327	13	2628589	0	304	0	304	615
328	13	2630126	0	301	0	301	609
329	13	2631651	0	305	0	305	613
330	13	2633193	0	301	0	301	603
331	13	2634712	0	304	0	304	611
332	13	2636244	0	298	0	298	603
333	13	2637756	0	302	0	302	607
334	13	2639281	0	303	0	303	613
335	13	2640820	0	307	0	307	617
336	13	2642370	0	298	0	298	605
337	13	2643879	0	306	0	306	614
338	13	2645425	0	302	0	302	608
339	13	2646951	0	298	0	298	602
340	13	2648463	0	306	0	306	617
341	13	2650012	0	305	0	305	616
342	13	2651557	0	303	0	303	613
343	13	2653090	0	304	0	304	614
344	13	2654632	0	303	0	303	611
345	13	2656162	0	301	0	301	605
346	13	2657683	0	296	0	296	601
347	13	2659184	0	305	0	305	611
348	13	2660724	0	299	0	299	600
349	13	2662236	0	307	0	307	618
350	13	2663788	0	303	0	303	611
351	13	2665319	0	300	0	300	606
352	13	2666838	0	304	0	304	612
353	13	2668378	0	298	0	299	600
354	13	2669880	0	301	0	300	610
355	13	2671408	0	299	0	299	599
356	13	2672916	0	303	0	303	609
357	13	2674451	0	304	0	304	612
358	13	2675984	0	297	0	297	601
359	13	2677493	0	304	0	304	614
360	13	2679029	0	306	0	306	619
361	13	2680580	0	304	0	304	614
362	13	2682121	0	297	0	297	598
363	13	2683621	0	306	0	306	617
364	13	2685170	0	303	0	303	611
365	13	2686700	0	304	0	304	611
366	13	2688239	0	303	0	303	609
367	13	2689768	0	303	0	303	613
368	13	2691306	0	302	0	302	610
369	13	2692834	0	304	0	304	614
370	13	2694370	0	299	0	299	601
371	13	2695882	0	305	0	305	614
372	13	2697426	0	298	0	298	603
373	13	2698932	0	304	0	304	614
374	13	2700473	0	303	0	303	608
375	13	2702001	0	306	0	306	617
376	13	2703550	0	302	0	302	610
377	13	2705078	0	298	0	298	601
378	13	2706589	0	301	0	301	606
379	13	2708111	0	305	0	305	613
380	13	2709653	0	299	0	299	606
381	13	2711171	0	307	0	307	625
382	13	2712730	0	305	0	305	614
383	13	2714268	0	300	0	300	607
384	13	2715788	0	299	0	299	605
385	13	2717305	0	304	0	304	610
386	13	2718843	0	302	0	302	606
387	13	2720366	0	306	0	306	617
388	13	2721915	0	304	0	304	614
389	13	2723451	0	297	0	297	600
390	13	2724958	0	305	0	305	613
391	13	2726492	0	299	0	299	600
392	13	2728007	0	306	0	306	617
393	13	2729555	0	307	0	307	623
394	13	2731112	0	305	0	305	617
395	13	2732659	0	304	0	304	614
396	13	2734194	0	304	0	304	610
397	13	2735732	0	300	0	300	605
398	13	2737251	0	304	0	305	616
399	13	2738788	0	302	0	301	608
400	13	2740314	0	303	0	303	610
401	13	2741850	0	302	0	302	612
402	13	2743379	0	299	0	299	602
403	13	2744893	0	302	0	302	609
404	13	2746419	0	306	0	306	613
405	13	2747964	0	300	0	301	604
406	13	2749481	0	299	0	298	603
407	13	2750995	0	305	0	305	615
408	13	2752534	0	304	0	304	610
409	13	2754071	0	306	0	306	617
410	13	2755620	0	307	0	307	619
411	13	2757173	0	307	0	307	617
412	13	2758718	0	302	0	302	611
413	13	2760247	0	303	0	303	618
414	13	2761785	0	302	0	302	610
415	13	2763318	0	295	0	295	595
416	13	2764814	0	306	0	306	617
417	13	2766363	0	306	0	306	619
418	13	2767907	0	305	0	305	617
419	13	2769454	0	304	0	304	615
420	13	2770997	0	301	0	301	606
421	13	2772519	0	307	0	307	618
422	13	2774070	0	304	0	304	613
423	13	2775605	0	305	0	305	616
424	13	2777151	0	303	0	303	610
425	13	2778680	0	306	0	306	616
426	13	2780228	0	304	0	304	611
427	13	2781767	0	305	0	305	615
428	13	2783306	0	299	0	299	602
429	13	2784819	0	306	0	306	613
430	13	2786364	0	303	0	303	614
431	13	2787898	0	305	0	305	614
432	13	2789441	0	298	0	298	598
433	13	2790949	0	303	0	303	610
434	13	2792479	0	302	0	302	610
435	13	2794006	0	306	0	306	619
436	13	2795557	0	302	0	302	610
437	13	2797085	0	305	0	305	617
438	13	2798632	0	302	0	302	613
439	13	2800162	0	303	0	303	615
440	13	2801703	0	302	0	302	608
441	13	2803229	0	300	0	300	606
442	13	2804748	0	304	0	304	612
443	13	2806282	0	303	0	303	613
444	13	2807821	0	298	0	298	598
445	13	2809322	0	302	0	302	609
446	13	2810855	0	305	0	305	617
447	13	2812396	0	304	0	304	616
448	13	2813940	0	304	0	304	611
449	13	2815472	0	303	0	303	613
450	13	2817011	0	305	0	305	613
451	13	2818549	0	303	0	303	608
452	13	2820082	0	304	0	304	612
453	13	2821616	0	298	0	298	601
454	13	2823127	0	304	0	304	611
455	13	2824658	0	299	0	299	605
456	13	2826175	0	303	0	303	611
457	13	2827712	0	302	0	302	610
458	13	2829240	0	298	0	298	599
459	13	2830748	0	301	0	301	605
460	13	2832269	0	302	0	302	610
461	13	2833796	0	303	0	303	611
462	13	2835327	0	301	0	301	609
463	13	2836852	0	306	0	306	614
464	13	2838397	0	301	0	301	604
465	13	2839917	0	302	0	302	609
466	13	2841450	0	302	0	302	608
467	13	2842975	0	303	0	303	614
468	13	2844509	0	302	0	302	610
469	13	2846038	0	303	0	303	611
470	13	2847572	0	299	0	299	603
471	13	2849086	0	303	0	303	610
472	13	2850616	0	307	0	307	618
473	13	2852168	0	306	0	306	615
474	13	2853715	0	298	0	298	598
475	13	2855217	0	299	0	299	601
476	13	2856730	0	71	0	71	145
