tick,record,offset,info
934,priv,148765716,off=0020_value=0000000000000001
934,priv,148765741,off=0070_value=0000000000009070
934,priv,148765766,off=0080_value=001bfa0002032281
934,priv,148765791,off=00e0_value=0000000000000000
935,marker,149400255,
935,priv,149400268,off=1000_value=0000000000006008
935,priv,149400293,off=0000_value=000000000000ff21
935,priv,149400318,off=0020_value=0000000000000001
935,priv,149400343,off=0070_value=0000000000009070
935,priv,149400368,off=0080_value=001bfa0002032281
935,priv,149400393,off=00e0_value=0000000000000000
936,marker,150034857,
936,priv,150034870,off=1000_value=0000000000004008
936,priv,150034895,off=0000_value=000000000000ff21
936,priv,150034920,off=0020_value=0000000000000001
936,priv,150034945,off=0070_value=0000000000009070
936,priv,150034970,off=0080_value=001bfa0002032281
936,priv,150034995,off=00e0_value=0000000000000000
937,marker,150669459,
937,priv,150669472,off=1000_value=0000000000006008
937,priv,150669497,off=0000_value=000000000000ff21
937,priv,150669522,off=0020_value=0000000000000001
937,priv,150669547,off=0070_value=0000000000009070
937,priv,150669572,off=0080_value=001bfa0002032281
937,priv,150669597,off=00e0_value=0000000000000000
938,marker,151304061,
938,priv,151304074,off=1000_value=0000000000004008
938,priv,151304099,off=0000_value=000000000000ff21
938,priv,151304124,off=0020_value=0000000000000001
938,priv,151304149,off=0070_value=0000000000009070
938,priv,151304174,off=0080_value=001bfa0002032281
938,priv,151304199,off=00e0_value=0000000000000000
939,marker,151938663,
939,priv,151938676,off=1000_value=0000000000006008
939,priv,151938701,off=0000_value=000000000000ff21
939,priv,151938726,off=0020_value=0000000000000001
939,priv,151938751,off=0070_value=0000000000009070
939,priv,151938776,off=0080_value=001bfa0002032281
939,priv,151938801,off=00e0_value=0000000000000000
940,marker,152573265,
940,priv,152573278,off=1000_value=0000000000004008
940,priv,152573303,off=0000_value=000000000000ff21
940,priv,152573328,off=0020_value=0000000000000001
940,priv,152573353,off=0070_value=0000000000009070
940,priv,152573378,off=0080_value=001bfa0002032281
940,priv,152573403,off=00e0_value=0000000000000000
941,marker,153207867,
941,priv,153207880,off=1000_value=0000000000006008
941,priv,153207905,off=0000_value=000000000000ff21
941,priv,153207930,off=0020_value=0000000000000001
941,priv,153207955,off=0070_value=0000000000009070
941,priv,153207980,off=0080_value=001bfa0002032281
941,priv,153208005,off=00e0_value=0000000000000000
942,marker,153842469,
942,priv,153842482,off=1000_value=0000000000004008
942,priv,153842507,off=0000_value=000000000000ff21
942,priv,153842532,off=0020_value=0000000000000001
942,priv,153842557,off=0070_value=0000000000009070
942,priv,153842582,off=0080_value=001bfa0002032281
942,priv,153842607,off=00e0_value=0000000000000000
943,marker,154477071,
943,priv,154477084,off=1000_value=0000000000006008
943,priv,154477109,off=0000_value=000000000000ff21
943,priv,154477134,off=0020_value=0000000000000001
943,priv,154477159,off=0070_value=0000000000009070
943,priv,154477184,off=0080_value=001bfa0002032281
943,priv,154477209,off=00e0_value=0000000000000000
944,marker,155111673,
944,priv,155111686,off=1000_value=0000000000004008
944,priv,155111711,off=0000_value=000000000000ff21
944,priv,155111736,off=0020_value=0000000000000001
944,priv,155111761,off=0070_value=0000000000009070
944,priv,155111786,off=0080_value=001bfa0002032281
944,priv,155111811,off=00e0_value=0000000000000000
945,marker,155746275,
945,priv,155746288,off=1000_value=0000000000006008
945,priv,155746313,off=0000_value=000000000000ff21
945,priv,155746338,off=0020_value=0000000000000001
945,priv,155746363,off=0070_value=0000000000009070
945,priv,155746388,off=0080_value=001bfa0002032281
945,priv,155746413,off=00e0_value=0000000000000000
946,marker,156380877,
946,priv,156380890,off=1000_value=0000000000004008
946,priv,156380915,off=0000_value=000000000000ff21
946,priv,156380940,off=0020_value=0000000000000001
946,priv,156380965,off=0070_value=0000000000009070
946,priv,156380990,off=0080_value=001bfa0002032281
946,priv,156381015,off=00e0_value=0000000000000000
947,marker,157015479,
947,priv,157015492,off=1000_value=0000000000006008
947,priv,157015517,off=0000_value=000000000000ff21
947,priv,157015542,off=0020_value=0000000000000001
947,priv,157015567,off=0070_value=0000000000009070
947,priv,157015592,off=0080_value=001bfa0002032281
947,priv,157015617,off=00e0_value=0000000000000000
948,marker,157650081,
948,priv,157650094,off=1000_value=0000000000004008
948,priv,157650119,off=0000_value=000000000000ff21
948,priv,157650144,off=0020_value=0000000000000001
948,priv,157650169,off=0070_value=0000000000009070
948,priv,157650194,off=0080_value=001bfa0002032281
948,priv,157650219,off=00e0_value=0000000000000000
949,marker,158284683,
949,priv,158284696,off=1000_value=0000000000006008
949,priv,158284721,off=0000_value=000000000000ff21
949,priv,158284746,off=0020_value=0000000000000001
949,priv,158284771,off=0070_value=0000000000009070
949,priv,158284796,off=0080_value=001bfa0002032281
949,priv,158284821,off=00e0_value=0000000000000000
