phnum=1 shnum=81
seg0 type=1 flags=7 off=0x1000 vaddr=0x100000 filesz=0x3a4bf4 memsz=0x43eadc
sec name='.DVP.overlay..0x2000.3886870251.2588.4' type=2147480609 flags=0x5 addr=0x0 off=0x3a8271 size=0x4a0
sec name='.DVP.overlay..0x0.26713891.32.0' type=2147480609 flags=0x5 addr=0x0 off=0x3a8711 size=0x800
sec name='.DVP.overlay..0x800.4091075227.14.1' type=2147480609 flags=0x5 addr=0x0 off=0x3a8f11 size=0x800
sec name='.DVP.overlay..0x1000.1030201195.1372.2' type=2147480609 flags=0x5 addr=0x0 off=0x3a9711 size=0x800
sec name='.DVP.overlay..0x1800.1030201195.1761.3' type=2147480609 flags=0x5 addr=0x0 off=0x3a9f11 size=0x800
sec name='.DVP.overlay..0x2000.1030201195.2132.4' type=2147480609 flags=0x5 addr=0x0 off=0x3aa711 size=0x800
sec name='.DVP.overlay..0x2800.1030201195.2786.5' type=2147480609 flags=0x5 addr=0x0 off=0x3aaf11 size=0x800
sec name='.DVP.overlay..0x3000.1030201195.3472.6' type=2147480609 flags=0x5 addr=0x0 off=0x3ab711 size=0x800
sec name='.DVP.overlay..0x3800.1030201195.3990.7' type=2147480609 flags=0x5 addr=0x0 off=0x3abf11 size=0x6a8
sec name='.DVP.overlay..0x0.108067.33.0' type=2147480609 flags=0x5 addr=0x0 off=0x3ac5b9 size=0x800
sec name='.DVP.overlay..0x800.4091089323.11.1' type=2147480609 flags=0x5 addr=0x0 off=0x3acdb9 size=0x800
sec name='.DVP.overlay..0x1000.3476914539.125.2' type=2147480609 flags=0x5 addr=0x0 off=0x3ad5b9 size=0x200
sec name='.DVP.overlay..0x0.108323.38.0' type=2147480609 flags=0x5 addr=0x0 off=0x3ad7b9 size=0x800
sec name='.DVP.overlay..0x800.3887216411.266.1' type=2147480609 flags=0x5 addr=0x0 off=0x3adfb9 size=0x800
sec name='.DVP.overlay..0x1000.3476911979.619.2' type=2147480609 flags=0x5 addr=0x0 off=0x3ae7b9 size=0x800
sec name='.DVP.overlay..0x1800.3476911979.1118.3' type=2147480609 flags=0x5 addr=0x0 off=0x3aefb9 size=0x800
